Test ID,Release,Module,Submodule / Area,Requirement,Why it matters,Source document,Source section / Test ID,Test type,Priority,Criticality,Fixture / Input,Expected result,Actual result,Status,Bug ID,Evidence,Checked by,Checked at,Developer comment,QA comment,Retest result,Retest date,Notes,Release Gate,Block reason
AT-IIN-008,1.0,02 IIN Check R0,Покрытие,COMPLETE_NO_RECORDS допустим только после успешной проверки всех обязательных sources,"Negative итог должен быть доказан, а не выведен из отсутствия ответа.",1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§7.4; T-024,REGRESSION,P0,CRITICAL,Все mandatory sources завершены valid negative/zero,Только тогда batch=COMPLETE_NO_RECORDS; manual/unavailable/unknown отсутствуют.,,NOT_TESTED,,,,,,,,,,RG5;RG8,
AT-IIN-009,1.0,02 IIN Check R0,CAPTCHA,CAPTCHA не обходится системой,Обход защит не входит в разрешённую автоматизацию.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,MASTER §22; IIN §3.1/§6; T-013,SECURITY,P0,CRITICAL,Официальная форма с CAPTCHA,Автоматический request не выполняется; создаётся manual task; headless/OCR solver отсутствует.,,NOT_TESTED,,,,,,,,,,RG5;RG12,
AT-IIN-010,1.0,02 IIN Check R0,Provenance,"Каждый результат хранит дату, источник и доказательство",Без происхождения нельзя оспорить или повторить проверку.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§8.2/§9/§13.3,AUDIT,P0,CRITICAL,Завершённый manual result,"Есть source, checked_at, source_data_as_of, fresh_until, status/outcome, evidence/reference, actor и version.",,NOT_TESTED,,,,,,,,,,RG5;RG7,
AT-IIN-011,1.0,02 IIN Check R0,Статусы,Технический status отделён от result outcome,Ошибка доступа не должна становиться фактом о клиенте.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§8.3; T-017–T-019,DATA,P0,CRITICAL,"completed zero, unknown, access error","completed/zero, completed/unknown и access/source error — разные комбинации; 0, null, empty и error не склеиваются.",,NOT_TESTED,,,,,,,,,,RG5;RG8,
AT-IIN-012,1.0,02 IIN Check R0,UNKNOWN,UNKNOWN не превращается в false/zero/clean,Неизвестность должна оставаться видимой.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §8; IIN §8.3, T-017/T-019",BOUNDARY,P0,CRITICAL,Ответ «Нет данных»/null без documented no-match,outcome=unknown либо schema issue; не not_found и не zero.,,NOT_TESTED,,,,,,,,,,RG5;RG8,
AT-IIN-013,1.0,02 IIN Check R0,Валидация ИИН,Невалидный ИИН блокируется до любого внешнего действия,Нельзя отправлять ошибочный идентификатор источникам.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§7.1; T-001–T-002,NEGATIVE,P0,CRITICAL,Не 12 цифр / неверный контрольный разряд,VALIDATION_ERROR; external request count=0; дата/пол не выводятся из структуры ИИН.,,NOT_TESTED,,,,,,,,,,RG5,
AT-IIN-014,1.0,02 IIN Check R0,Идемпотентность,Повторный клик не создаёт второй batch,Дублирование проверок и evidence разрушает аудит.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§7.1; T-027–T-028,INTEGRATION,P1,HIGH,Двойной клик с одним Idempotency-Key,Один batch и один набор задач; свежий существующий batch переиспользуется по policy.,,NOT_TESTED,,,,,,,,,,RG5,
AT-IIN-015,1.0,02 IIN Check R0,Версионность,Refresh создаёт новый immutable batch,Старый факт и его дата должны оставаться воспроизводимыми.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§8.5; T-026/T-031,AUDIT,P1,HIGH,Устаревший result + refresh,Создан новый batch/result с supersedes_id; прошлое подтверждение не перезаписано.,,NOT_TESTED,,,,,,,,,,RG5;RG11,
AT-IIN-016,1.0,02 IIN Check R0,UI источника,"Карточка источника показывает status, дату, канал, evidence и действие",Брокеру нужен понятный результат по каждому source.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§9; T-045–T-048,UX,P1,HIGH,Manual/unavailable/stale/completed cards,"Название source, дата, свежесть, исход, evidence status и один допустимый CTA видимы текстом, не только цветом.",,NOT_TESTED,,,,,,,,,,RG5;RG9,
AT-IIN-017,1.0,02 IIN Check R0,Граница результата,Факт ИИН-check не является банковским вердиктом,Реестровая запись не доказывает отказ или одобрение.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §12; IIN §13.1, T-040–T-043",UX,P0,CRITICAL,Найдена официальная запись,Показан нейтральный факт и disclaimer; bank_verdict отсутствует; нет автоматического красного/зелёного решения.,,NOT_TESTED,,,,,,,,,,RG5;RG9,
AT-IIN-018,1.0,02 IIN Check R0,PII и tenant,"ИИН не попадает в URL/log/evidence, tenant isolation действует",Идентификатор нельзя раскрывать техническими каналами.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§13.3; T-032–T-035/T-044,SECURITY,P0,CRITICAL,Manual URL + чужой result ID,ИИН маскирован; query/path/referrer/log не содержит полный ИИН; cross-tenant request denied без existence leak.,,NOT_TESTED,,,,,,,,,,RG5;RG12,
AT-IIN-019,1.0,02 IIN Check R0,R0 suite,Все применимые к R0 контрольные тесты ИИН-check внесены в regression checklist,"DoD требует формальной трассировки тестов, даже когда production APIs выключены.",1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§10; §13.4–13.5; T-001–T-048,REGRESSION,P0,CRITICAL,R0 automated/manual test suite,"Применимые R0/manual/privacy/UI тесты PASS; API-specific tests помечены NOT_APPLICABLE до включения соответствующего feature flag, а не FAIL.",,NOT_TESTED,,,,,,,,,,RG5;RG12,
AT-IIN-020,1.0,02 IIN Check R0,Future API boundary,API-specific проверки не являются обязательной реализацией релиза 1.0,Bank/API gates нельзя искусственно превращать в scope R0.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,MASTER §12/§20; IIN §13.4 R1–R4,INTEGRATION,P2,MEDIUM,AIS OIP/KGD connectors not enabled,Для R0 их execution tests = NOT_APPLICABLE; реестр хранит BLOCKED/ACCESS_REQUIRED reason; release 1.0 оценивается по R0/manual поведению.,,NOT_APPLICABLE,,,,,,,,,Не входит в обязательный PASS 1.0; сохранено как граница scope.,,
CH-001,1.0,03 Credit History,Upload,Upload grant привязан к tenant/case/participant/document type,Чужой документ не должен попасть в кейс.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§18.1; CH-001,SECURITY,P0,CRITICAL,Действующее consent + PDF в лимите,Одноразовый grant выдан для exact tenant/case/participant/type.,,NOT_TESTED,,,,,,,,,,RG2;RG3,
CH-005,1.0,03 Credit History,Техническая проверка,"MIME проверяется по содержимому, не расширению",Поддельный тип файла не должен попадать в parser.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.2; CH-005,NEGATIVE,P0,CRITICAL,"Extension .pdf, magic bytes PNG",FILE_TYPE_MISMATCH; parser не запускается.,,NOT_TESTED,,,,,,,,,,RG2;RG3,
CH-006,1.0,03 Credit History,Техническая проверка,Password-protected PDF не обрабатывается,CASA не должна запрашивать пароль клиента.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.2; CH-006,NEGATIVE,P1,HIGH,Password-protected PDF,PASSWORD_PROTECTED; безопасная инструкция загрузить открытую официальную копию; пароль не запрашивается.,,NOT_TESTED,,,,,,,,,,RG2;RG3,
CH-007,1.0,03 Credit History,Безопасность файла,Malware/launch actions изолируются,PDF не должен выполнять активное содержимое.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.2; CH-007,SECURITY,P0,CRITICAL,PDF с malware/launch action,Quarantine; активное содержимое не исполняется и страница не рендерится в browser.,,NOT_TESTED,,,,,,,,,,RG2;RG3;RG12,
CH-009,1.0,03 Credit History,Дубли,Exact duplicate не парсится повторно,Повторный parse создаёт дубли и расходится аудит.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.4; CH-009,REGRESSION,P1,HIGH,Одинаковый SHA-256 в одном case,Возвращена ссылка на существующую document version; новый parse/source records не созданы.,,NOT_TESTED,,,,,,,,,,RG2;RG3,
CH-010,1.0,03 Credit History,Версионность,Новый ПКО создаёт новую версию и supersedes старую,История клиента должна быть воспроизводимой.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.4; CH-010,AUDIT,P0,CRITICAL,Новый ПКО того же participant,Новая document/profile snapshot version; старая SUPERSEDED и read-only.,,NOT_TESTED,,,,,,,,,,RG3;RG11,
CH-011,1.0,03 Credit History,Regression fixture,"Правильно распознаны издатель, тип и дата отчёта",Неверный шаблон делает все downstream данные недостоверными.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.1; CH-011,REGRESSION,P0,CRITICAL,FX-CH-REG-001,bureau=FCB; kind=FULL_PERSONAL; report_at=08.08.2026 09:51:38.,,NOT_TESTED,,,,,,,,,,RG3,
CH-012,1.0,03 Credit History,Regression fixture,Все 29 страниц присутствуют и идут по порядку,Пропуск страницы блокирует точный профиль.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.1; CH-012–CH-014,REGRESSION,P0,CRITICAL,FX-CH-REG-001,pages_actual=pages_declared=29; sequence 1…29 PASS; пропуск/перестановка блокируют snapshot.,,NOT_TESTED,,,,,,,,,,RG3,
CH-017,1.0,03 Credit History,Подлинность,Копия без криптоподписи не показывается как подтверждённая,"Целостность, подлинность и extraction — разные статусы.",2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.1/§6.3; CH-017,REGRESSION,P0,CRITICAL,FX-CH-REG-001,authenticity_status=UNVERIFIED_FLATTENED_PDF; не VERIFIED и не единый badge «Подтверждено».,,NOT_TESTED,,,,,,,,,,RG3;RG9,
CH-021,1.0,03 Credit History,Распознавание,При наличии text layer используется text-first,Полностраничный OCR может внести новые ошибки.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§7.1/§12.1; CH-021–CH-022,FUNCTIONAL,P1,HIGH,FX-CH-REG-001,Text-first extraction; OCR только для отсутствующих/ненадёжных зон с отдельным provenance.,,NOT_TESTED,,,,,,,,,,RG3;RG7,
CH-023,1.0,03 Credit History,Распознавание,Расхождение text/OCR по критичной цифре создаёт review task,Высокая confidence не доказывает правильность значения.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§12.1; CH-023,BOUNDARY,P0,CRITICAL,"Text=8, OCR/render=3 в платеже",Disagreement task; значение не auto-confirm; пользователь видит оба сигнала и crop.,,NOT_TESTED,,,,,,,,,,RG3;RG7,
CH-026,1.0,03 Credit History,Presence,"Blank, explicit zero и UNKNOWN различаются",Пустой остаток не равен нулю.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§7.3/§12.2; CH-026–CH-028,BOUNDARY,P0,CRITICAL,Пустая ячейка / 0.00 / dash,BLANK→amount=null; EXPLICIT_ZERO→0.00; NOT_APPLICABLE отдельно; никакой скрытой подмены.,,NOT_TESTED,,,,,,,,,,RG3;RG8,
CH-031,1.0,03 Credit History,Текущие обязательства,Regression fixture содержит 3 активных обязательства,Это базовый контроль правильного current profile.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§11.2; CH-031,REGRESSION,P0,CRITICAL,FX-CH-REG-001,active_source_record_count=3 и active_obligation_count=3 после канонизации.,,NOT_TESTED,,,,,,,,,,RG3,
CH-032,1.0,03 Credit History,Текущие обязательства,Активные продукты: 2 карты и 1 банковский займ,Карты и займы имеют разные поля и нельзя смешивать их расчёт.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2; CH-032,REGRESSION,P0,CRITICAL,FX-CH-REG-001,2 CREDIT_CARD + 1 LOAN; active_card_count=2.,,NOT_TESTED,,,,,,,,,,RG3,
CH-033,1.0,03 Credit History,Текущий долг,Текущий остаток рассчитан точно,Ошибка в текущем долге искажает весь финансовый профиль.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§11.2; CH-033,CALCULATION,P0,CRITICAL,FX-CH-REG-001,"total_outstanding_by_currency.KZT = 4 737 798,64 ₸ exact.",,NOT_TESTED,,,,,,,,,,RG3;RG11,
CH-034,1.0,03 Credit History,Текущие платежи,Сумма source-reported payments рассчитана точно,"Платёжная нагрузка должна соответствовать источнику, без банковских догадок.",2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§11.2; CH-034,CALCULATION,P0,CRITICAL,FX-CH-REG-001,"total_reported_payment_by_currency.KZT = 211 711,02 ₸ exact; kind каждого платежа сохранён.",,NOT_TESTED,,,,,,,,,,RG3;RG11,
CH-035,1.0,03 Credit History,Кредитные карты,"Лимит, использование и текущий долг карты не смешиваются",Лимит нельзя прибавлять к задолженности.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§7.3; CH-035/CH-037,REGRESSION,P0,CRITICAL,FX-CH-REG-001,"card_limits.KZT=3 437 876,00; card_utilized.KZT=3 166 772,90; limit не добавлен в outstanding.",,NOT_TESTED,,,,,,,,,,RG3;RG8,
AT-CH-BUG-001,1.0,03 Credit History,Текущая просрочка,Историческая просрочка не должна считаться текущей.,Иначе брокер получает фактически неверное состояние клиента.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §10; CH §10.3/§11.2; CH-036/CH-053/CH-056/CH-061,REGRESSION,P0,CRITICAL,FX-CH-REG-001,"active_current_delinquency_count = 0
max_current_dpd = 0",,NOT_TESTED,BUG-CH-001,,,,,,,,Actual заполняется только после проверки текущей реализации.,RG3;RG8;RG12,
CH-038,1.0,03 Credit History,Кредитные карты,Минимальный платёж карты хранится отдельно,"Это source-reported minimum payment, не оценка CASA.",2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§7.3; CH-038,DATA,P0,CRITICAL,Активная карта с minimum payment 132 768,minimum_payment_reported=132 768; payment kind=MINIMUM_PAYMENT_REPORTED; отдельно от limit и utilized.,,NOT_TESTED,,,,,,,,,,RG3;RG8,
CH-040,1.0,03 Credit History,UNKNOWN,Неизвестный active balance делает total UNKNOWN,Нельзя молча суммировать только известную часть.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§11.4; CH-040,BOUNDARY,P0,CRITICAL,Одно active obligation balance UNKNOWN,Total outstanding status=UNKNOWN с причиной и affected lineage; не partial silent sum и не 0.,,NOT_TESTED,,,,,,,,,,RG3;RG8,
CH-041,1.0,03 Credit History,Regression fixture,"30 source records, 29 кодов и 29 lineages",Проверяет полноту строк и корректную дедупликацию уступки.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§9; CH-041,REGRESSION,P0,CRITICAL,FX-CH-REG-001,source_contract_record_count=30; unique contract codes=29; canonical lineages=29.,,NOT_TESTED,,,,,,,,,,RG3,
