reference_id,module_id,status,requirement,source_document,source_section,source_extract_id,notes
BR-REF-0032,M07-M08,FUTURE_1_1_REFERENCE,Поле: rules_hash; Смысл: хэш нормализованного набора правил; Обязательное правило: изменение rules → новый hash/new version,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00043,Standard/reference only; not a real bank rules pack.
BR-REF-0033,M07-M08,FUTURE_1_1_REFERENCE,Поле: verification_status; Смысл: качество подтверждения версии; Обязательное правило: green verdict только при допустимом статусе,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00044,Standard/reference only; not a real bank rules pack.
BR-REF-0034,M07-M08,FUTURE_1_1_REFERENCE,Поле: status; Смысл: draft → in_review → approved → published → superseded/expired; Обязательное правило: published immutable,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00045,Standard/reference only; not a real bank rules pack.
BR-REF-0035,M07-M08,FUTURE_1_1_REFERENCE,Поле: reviewer_notes / diff_summary; Смысл: контекст изменения; Обязательное правило: не является source rule; не попадает в engine expression,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00046,Standard/reference only; not a real bank rules pack.
BR-REF-0036,M07-M08,FUTURE_1_1_REFERENCE,Поле: rule_code; Назначение: стабильный машинный код; Пример: DOWN_PAYMENT_MIN_RATIO,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00049,Standard/reference only; not a real bank rules pack.
BR-REF-0037,M07-M08,FUTURE_1_1_REFERENCE,Поле: category; Назначение: таксономия §4; Пример: DOWN_PAYMENT,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00050,Standard/reference only; not a real bank rules pack.
BR-REF-0038,M07-M08,FUTURE_1_1_REFERENCE,Поле: rule_kind; Назначение: COMPARATOR / RANGE / SET / FORMULA / TABLE / CONDITIONAL / REQUIREMENT / MANUAL; Пример: COMPARATOR,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00051,Standard/reference only; not a real bank rules pack.
BR-REF-0039,M07-M08,FUTURE_1_1_REFERENCE,Поле: input_paths; Назначение: какие поля snapshots читает правило; Пример: client_profile.purchase.target_price; down_payment.available_amount,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00052,Standard/reference only; not a real bank rules pack.
BR-REF-0040,M07-M08,FUTURE_1_1_REFERENCE,Поле: expression_or_table; Назначение: детерминированное выражение/lookup; Пример: available_amount / target_price >= 0.20,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00053,Standard/reference only; not a real bank rules pack.
BR-REF-0041,M07-M08,FUTURE_1_1_REFERENCE,Поле: scope; Назначение: participant/property/region/market/program stage; Пример: PRIMARY_BORROWER + PRIMARY_MARKET,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00054,Standard/reference only; not a real bank rules pack.
BR-REF-0042,M07-M08,FUTURE_1_1_REFERENCE,Поле: severity; Назначение: HARD / CONDITIONAL / CALCULATION / INFORMATIONAL / MANUAL; Пример: HARD,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00055,Standard/reference only; not a real bank rules pack.
BR-REF-0043,M07-M08,FUTURE_1_1_REFERENCE,Поле: unknown_behavior; Назначение: что делать при UNKNOWN; Пример: BLOCK_GREEN_AND_MANUAL,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00056,Standard/reference only; not a real bank rules pack.
BR-REF-0044,M07-M08,FUTURE_1_1_REFERENCE,Поле: failure_code; Назначение: структурная причина; Пример: DOWN_PAYMENT_INSUFFICIENT,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00057,Standard/reference only; not a real bank rules pack.
BR-REF-0045,M07-M08,FUTURE_1_1_REFERENCE,Поле: source_refs; Назначение: 1..N rule_source refs; Пример: SRC-...,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00058,Standard/reference only; not a real bank rules pack.
BR-REF-0046,M07-M08,FUTURE_1_1_REFERENCE,Поле: effective_context; Назначение: дата/регион/категория/исключение; Пример: KZ / Алматы / primary,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00059,Standard/reference only; not a real bank rules pack.
BR-REF-0047,M07-M08,FUTURE_1_1_REFERENCE,Поле: status; Назначение: draft/tested/approved/deprecated; Пример: approved,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00060,Standard/reference only; not a real bank rules pack.
BR-REF-0048,M07-M08,FUTURE_1_1_REFERENCE,"Атомарность
Один rule_code отвечает за одну проверяемую мысль. Нельзя хранить строкой «возраст 21–63, стаж 6 мес, взнос 20%». Это три независимых правила с отдельными sources, dates, tests и explain trace.: Атомарность
Один rule_code отвечает за одну проверяемую мысль. Нельзя хранить строкой «возраст 21–63, стаж 6 мес, взнос 20%». Это три независимых правила с отдельными sources, dates, tests и explain trace.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.3 program_rule — атомарное правило,SRC-DOC-BR-F-00061,Standard/reference only; not a real bank rules pack.
BR-REF-0049,M07-M08,FUTURE_1_1_REFERENCE,"Категория: PARTICIPANT_IDENTITY; Что может содержать: гражданство, резидентство, роль, возраст; Основные inputs: client_profile.participants.*",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00064,Standard/reference only; not a real bank rules pack.
BR-REF-0050,M07-M08,FUTURE_1_1_REFERENCE,"Категория: HOUSEHOLD; Что может содержать: супруг, иждивенцы, семейное участие, совместные ограничения; Основные inputs: client_profile.household.*",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00065,Standard/reference only; not a real bank rules pack.
BR-REF-0051,M07-M08,FUTURE_1_1_REFERENCE,"Категория: EMPLOYMENT; Что может содержать: тип занятости, стаж, испытательный срок, отпуск, бизнес-период; Основные inputs: client_profile.employments.*",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00066,Standard/reference only; not a real bank rules pack.
BR-REF-0052,M07-M08,FUTURE_1_1_REFERENCE,"Категория: INCOME_ACCEPTANCE; Что может содержать: допустимый вид дохода, период, формула принятия, документы; Основные inputs: client_profile.income_sources + pension snapshot",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00067,Standard/reference only; not a real bank rules pack.
BR-REF-0053,M07-M08,FUTURE_1_1_REFERENCE,Категория: PENSION_REQUIREMENT; Что может содержать: требуемые месяцы/паттерны/допустимость ОПВ как evidence; Основные inputs: pension_contribution_snapshot.*,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00068,Standard/reference only; not a real bank rules pack.
BR-REF-0054,M07-M08,FUTURE_1_1_REFERENCE,"Категория: CREDIT_HISTORY_CURRENT; Что может содержать: текущая просрочка, активные статусы, active MFO/cards/guarantees; Основные inputs: credit_history_snapshot.current_debt_profile",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00069,Standard/reference only; not a real bank rules pack.
BR-REF-0055,M07-M08,FUTURE_1_1_REFERENCE,"Категория: CREDIT_HISTORY_HISTORICAL; Что может содержать: окно исторических DPD, реструктуризация, collection, write-off; Основные inputs: credit_history_snapshot.historical_credit_profile",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00070,Standard/reference only; not a real bank rules pack.
BR-REF-0056,M07-M08,FUTURE_1_1_REFERENCE,Категория: OBLIGATION_TREATMENT; Что может содержать: какие обязательства и card limits входят в bank-adjusted нагрузку; Основные inputs: credit_history canonical obligations + non_credit_commitments,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00071,Standard/reference only; not a real bank rules pack.
BR-REF-0057,M07-M08,FUTURE_1_1_REFERENCE,"Категория: AFFORDABILITY; Что может содержать: формула/порог нагрузки, accepted income, stressed payment; Основные inputs: bank-adjusted derived values",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00072,Standard/reference only; not a real bank rules pack.
BR-REF-0058,M07-M08,FUTURE_1_1_REFERENCE,"Категория: DOWN_PAYMENT; Что может содержать: минимальный ratio, допустимые источники, доступность средств; Основные inputs: client_profile.down_payment_sources + assets",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00073,Standard/reference only; not a real bank rules pack.
BR-REF-0059,M07-M08,FUTURE_1_1_REFERENCE,"Категория: CO_BORROWER; Что может содержать: допустимость, relation, income aggregation, ownership; Основные inputs: client_profile.participants/co_borrower",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00074,Standard/reference only; not a real bank rules pack.
BR-REF-0060,M07-M08,FUTURE_1_1_REFERENCE,"Категория: PROPERTY; Что может содержать: рынок, тип объекта, возраст дома, accreditation/valuation/region; Основные inputs: future property snapshot",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00075,Standard/reference only; not a real bank rules pack.
BR-REF-0061,M07-M08,FUTURE_1_1_REFERENCE,"Категория: LOAN_TERMS; Что может содержать: min/max amount, term, rate, fees, GESV, repayment shape; Основные inputs: program parameters + scenario requested terms",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00076,Standard/reference only; not a real bank rules pack.
BR-REF-0062,M07-M08,FUTURE_1_1_REFERENCE,"Категория: SPECIAL_CATEGORY; Что может содержать: военнослужащий, молодёжь, очередь, социальная категория и др.; Основные inputs: client_profile special facts + evidence",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00077,Standard/reference only; not a real bank rules pack.
BR-REF-0063,M07-M08,FUTURE_1_1_REFERENCE,Категория: OWNERSHIP_RESTRICTION; Что может содержать: наличие/отсутствие жилья/ипотеки в заданном окне; Основные inputs: client_profile assets + verified external facts when available,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00078,Standard/reference only; not a real bank rules pack.
BR-REF-0064,M07-M08,FUTURE_1_1_REFERENCE,"Категория: INTAKE; Что может содержать: раунд, квота, очередь, дата/регион приёма; Основные inputs: program_intake",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00079,Standard/reference only; not a real bank rules pack.
BR-REF-0065,M07-M08,FUTURE_1_1_REFERENCE,Категория: EVIDENCE_REQUIREMENT; Что может содержать: какой факт должен быть подтверждён до green; Основные inputs: field provenance/document verification,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00080,Standard/reference only; not a real bank rules pack.
BR-REF-0066,M07-M08,FUTURE_1_1_REFERENCE,Категория: MANUAL_BANK_POLICY; Что может содержать: непубличное/неподтверждённое внутреннее правило; Основные inputs: no deterministic input until confirmation,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§4 Единая таксономия правил банка,SRC-DOC-BR-F-00081,Standard/reference only; not a real bank rules pack.
BR-REF-0067,M07-M08,FUTURE_1_1_REFERENCE,"Bank Rules Engine не перечитывает PDF
Он получает только опубликованные immutable snapshots. Если source document меняется, upstream engine публикует новый snapshot; новый analysis ссылается на него. Старый analysis остаётся воспроизводимым.: Bank Rules Engine не перечитывает PDF
Он получает только опубликованные immutable snapshots. Если source document меняется, upstream engine публикует новый snapshot; новый analysis ссылается на него. Старый analysis остаётся воспроизводимым.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§5 Контракт входных данных из блоков №1–4,SRC-DOC-BR-F-00083,Standard/reference only; not a real bank rules pack.
BR-REF-0068,M07-M08,FUTURE_1_1_REFERENCE,"Namespace: iin_check.*; Владелец: Block 01; Что разрешено читать банку: verified external facts, source status, checked_at/freshness; Что запрещено трактовать напрямую: PARTIAL как «чисто»; unavailable как no_records",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§5 Контракт входных данных из блоков №1–4,SRC-DOC-BR-F-00085,Standard/reference only; not a real bank rules pack.
BR-REF-0069,M07-M08,FUTURE_1_1_REFERENCE,"Namespace: credit_history.*; Владелец: Block 02; Что разрешено читать банку: canonical obligations, cards, DPD/events, inquiries/applications, quality flags; Что запрещено трактовать напрямую: PKR как одобрение; lifetime DPD как current DPD; card limit как payment без bank rule",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§5 Контракт входных данных из блоков №1–4,SRC-DOC-BR-F-00086,Standard/reference only; not a real bank rules pack.
BR-REF-0070,M07-M08,FUTURE_1_1_REFERENCE,Namespace: pension.*; Владелец: Block 03; Что разрешено читать банку: contribution rows/profile/sender history/estimated base only if valid; Что запрещено трактовать напрямую: 10 000 ОПВ → salary 100 000; sender → employer автоматически,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§5 Контракт входных данных из блоков №1–4,SRC-DOC-BR-F-00087,Standard/reference only; not a real bank rules pack.
