requirement_id,release,module_id,module_name,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_document,source_version,source_section,source_extract_id,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_question,developer_action,qa_evidence,notes
CORE-REQ-0011,1.0,CORE,CASA Pro Core,API,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Прямые данные; Граница: Получение КИ или пенсионных через API; вход в кабинеты; ЭЦП, OTP, пароли клиента","Не строим сейчас: Прямые данные; Граница: Получение КИ или пенсионных через API; вход в кабинеты; ЭЦП, OTP, пароли клиента",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00051,,,,BACKEND,,,,,,Canonical source-backed rule
CORE-REQ-0012,1.0,CORE,CASA Pro Core,FUTURE_BOUNDARY,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Банковские интеграции; Граница: Подача заявки, получение официального решения или статуса банка","Не строим сейчас: Банковские интеграции; Граница: Подача заявки, получение официального решения или статуса банка",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00052,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0013,1.0,CORE,CASA Pro Core,API,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Неутверждённая автоматизация; Граница: Парсинг CAPTCHA/закрытых сайтов, массовые реестры, неподтверждённые API","Не строим сейчас: Неутверждённая автоматизация; Граница: Парсинг CAPTCHA/закрытых сайтов, массовые реестры, неподтверждённые API",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00053,,,,BACKEND,,,,,,Canonical source-backed rule
CORE-REQ-0014,1.0,CORE,CASA Pro Core,CALCULATION,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Расширенный ИИ; Граница: Универсальный чат, новые правила, изменение расчётов, автоматические финансовые советы клиенту","Не строим сейчас: Расширенный ИИ; Граница: Универсальный чат, новые правила, изменение расчётов, автоматические финансовые советы клиенту",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00054,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0015,1.0,CORE,CASA Pro Core,CONSENT,§6 Сквозной путь одного ипотечного клиента,"Шаг: 1; Действие: Создать клиента и кейс; Обязательный результат: Участники определены; согласие привязано к человеку, цели и версии текста.","Шаг: 1; Действие: Создать клиента и кейс; Обязательный результат: Участники определены; согласие привязано к человеку, цели и версии текста.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00058,,,,LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0016,1.0,CORE,CASA Pro Core,VALIDATION,§6 Сквозной путь одного ипотечного клиента,Шаг: 2; Действие: Проверить по ИИН; Обязательный результат: Запускаются только разрешённые источники; ручные проверки создаются как задачи; недоступность не равна отсутствию записей.,Шаг: 2; Действие: Проверить по ИИН; Обязательный результат: Запускаются только разрешённые источники; ручные проверки создаются как задачи; недоступность не равна отсутствию записей.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00059,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0017,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,Шаг: 3; Действие: Загрузить два PDF вручную; Обязательный результат: Кредитная история и пенсионные отчисления получены самим клиентом и загружены пользователем.,Шаг: 3; Действие: Загрузить два PDF вручную; Обязательный результат: Кредитная история и пенсионные отчисления получены самим клиентом и загружены пользователем.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00060,,,,PARSER,,,,,,Canonical source-backed rule
CORE-REQ-0018,1.0,CORE,CASA Pro Core,SECURITY,§6 Сквозной путь одного ипотечного клиента,"Шаг: 4; Действие: Проверить документы; Обязательный результат: Тип, страницы, читаемость, безопасность, субъект, дубли, подлинность и свежесть.","Шаг: 4; Действие: Проверить документы; Обязательный результат: Тип, страницы, читаемость, безопасность, субъект, дубли, подлинность и свежесть.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00061,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0019,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,"Шаг: 5; Действие: Распознать; Обязательный результат: CASA извлекает факты, суммы, даты и ссылки на страницы/фрагменты.","Шаг: 5; Действие: Распознать; Обязательный результат: CASA извлекает факты, суммы, даты и ссылки на страницы/фрагменты.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00062,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0020,1.0,CORE,CASA Pro Core,UI,§6 Сквозной путь одного ипотечного клиента,Шаг: 6; Действие: Подтвердить критичные значения; Обязательный результат: Брокер принимает или исправляет цифры; UNKNOWN остаётся неизвестным.,Шаг: 6; Действие: Подтвердить критичные значения; Обязательный результат: Брокер принимает или исправляет цифры; UNKNOWN остаётся неизвестным.,,,,UNKNOWN,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00063,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0021,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,"Шаг: 7; Действие: Собрать профиль; Обязательный результат: CASA спрашивает только недостающие данные: цель, участники, занятость, доходы, активы и источник ПВ.","Шаг: 7; Действие: Собрать профиль; Обязательный результат: CASA спрашивает только недостающие данные: цель, участники, занятость, доходы, активы и источник ПВ.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00064,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0022,1.0,CORE,CASA Pro Core,FORMULA,§6 Сквозной путь одного ипотечного клиента,Шаг: 8; Действие: Посчитать; Обязательный результат: Утверждённые формулы используют только допустимые подтверждённые входы и фиксируют версию расчёта.,Шаг: 8; Действие: Посчитать; Обязательный результат: Утверждённые формулы используют только допустимые подтверждённые входы и фиксируют версию расчёта.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00065,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0023,1.0,CORE,CASA Pro Core,VALIDATION,§6 Сквозной путь одного ипотечного клиента,"Шаг: 9; Действие: Применить правила программ; Обязательный результат: Каждое правило имеет источник, дату, версию и проверяющего.","Шаг: 9; Действие: Применить правила программ; Обязательный результат: Каждое правило имеет источник, дату, версию и проверяющего.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00066,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0024,1.0,CORE,CASA Pro Core,VALIDATION,§6 Сквозной путь одного ипотечного клиента,Шаг: 10; Действие: Показать результат и причины; Обязательный результат: Потенциально подходит / не проходит по известному условию / требуется ручная проверка.,Шаг: 10; Действие: Показать результат и причины; Обязательный результат: Потенциально подходит / не проходит по известному условию / требуется ручная проверка.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00067,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0025,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,Шаг: 11; Действие: Сравнить сценарии; Обязательный результат: ДО → одно явное изменение → ПОСЛЕ; факты клиента не перезаписываются.,Шаг: 11; Действие: Сравнить сценарии; Обязательный результат: ДО → одно явное изменение → ПОСЛЕ; факты клиента не перезаписываются.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00068,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0026,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,"Шаг: 12; Действие: Назначить действие; Обязательный результат: Конкретный следующий шаг, ответственный и срок.","Шаг: 12; Действие: Назначить действие; Обязательный результат: Конкретный следующий шаг, ответственный и срок.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00069,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0027,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§6 Сквозной путь одного ипотечного клиента,"Шаг: 13; Действие: Сформировать заключение; Обязательный результат: Человеческий язык, источники, оговорки; без обещания решения банка.","Шаг: 13; Действие: Сформировать заключение; Обязательный результат: Человеческий язык, источники, оговорки; без обещания решения банка.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00070,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0028,1.0,CORE,CASA Pro Core,VALIDATION,§6 Сквозной путь одного ипотечного клиента,"Шаг: 14; Действие: Вернуть клиента; Обязательный результат: Новая дата, новый документ, изменение данных или банковского правила запускают повторную проверку.","Шаг: 14; Действие: Вернуть клиента; Обязательный результат: Новая дата, новый документ, изменение данных или банковского правила запускают повторную проверку.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00071,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0029,1.0,CORE,CASA Pro Core,CONSENT,§6 Сквозной путь одного ипотечного клиента,СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.: СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.,СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.: СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,SRC-DOC-000-00072,,,,LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0030,1.0,CORE,CASA Pro Core,CONSENT,§01 Клиент и согласие,Зачем: создать законное и отслеживаемое основание работы с конкретным человеком,Зачем: создать законное и отслеживаемое основание работы с конкретным человеком,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,SRC-DOC-000-00076,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0031,1.0,CORE,CASA Pro Core,CONSENT,§01 Клиент и согласие,"Вход: роль пользователя, данные участника, цель обработки, версия согласия","Вход: роль пользователя, данные участника, цель обработки, версия согласия",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,SRC-DOC-000-00077,,,,LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0032,1.0,CORE,CASA Pro Core,CONSENT,§01 Клиент и согласие,"Действие и выход: создаёт участника, кейс, согласие и журнал действий → идентифицированный участник и действующий статус согласия","Действие и выход: создаёт участника, кейс, согласие и журнал действий → идентифицированный участник и действующий статус согласия",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,SRC-DOC-000-00078,,,,LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0033,1.0,CORE,CASA Pro Core,CONSENT,§02 Проверка по ИИН,"Вход: валидный ИИН, участник, предметное согласие, реестр источников и разрешения","Вход: валидный ИИН, участник, предметное согласие, реестр источников и разрешения",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00083,,,,LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0034,1.0,CORE,CASA Pro Core,VALIDATION,§02 Проверка по ИИН,"Действие и выход: делит проверки на автоматические, ручные, клиент-авторизованные и недоступные → результаты по каждому источнику, покрытие, даты и доказательства","Действие и выход: делит проверки на автоматические, ручные, клиент-авторизованные и недоступные → результаты по каждому источнику, покрытие, даты и доказательства",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00084,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0035,1.0,CORE,CASA Pro Core,VALIDATION,§02 Проверка по ИИН,"Не делает: не получает КИ/ЕНПФ, не обходит CAPTCHA и не создаёт банковский вердикт","Не делает: не получает КИ/ЕНПФ, не обходит CAPTCHA и не создаёт банковский вердикт",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00085,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0036,1.0,CORE,CASA Pro Core,VALIDATION,§02 Проверка по ИИН,Источник требований: CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,Источник требований: CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00086,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0037,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§03 Кредитная история,Зачем: точно разделить текущие обязательства и историю клиента,Зачем: точно разделить текущие обязательства и историю клиента,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00088,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0038,1.0,CORE,CASA Pro Core,CONSENT,§03 Кредитная история,Вход: вручную загруженный PDF ПКО и действующее согласие,Вход: вручную загруженный PDF ПКО и действующее согласие,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00089,,,,PARSER|LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0039,1.0,CORE,CASA Pro Core,VALIDATION,§03 Кредитная история,"Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей","Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00090,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0040,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§03 Кредитная история,Источник требований: CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,Источник требований: CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00092,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0041,1.0,CORE,CASA Pro Core,CONSENT,§04 Пенсионные отчисления,Вход: вручную загруженный поддерживаемый PDF и согласие,Вход: вручную загруженный поддерживаемый PDF и согласие,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,SRC-DOC-000-00095,,,,PARSER|LEGAL,,,,,,Canonical source-backed rule
CORE-REQ-0042,1.0,CORE,CASA Pro Core,CALCULATION,§04 Пенсионные отчисления,"Действие и выход: извлекает строки, месяцы, суммы, КНП, отправителей и качество; отделяет неизвестности → снимок пенсионных фактов, нейтральных показателей и ограничений расчётной базы","Действие и выход: извлекает строки, месяцы, суммы, КНП, отправителей и качество; отделяет неизвестности → снимок пенсионных фактов, нейтральных показателей и ограничений расчётной базы",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,SRC-DOC-000-00096,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0043,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§04 Пенсионные отчисления,Источник требований: 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,Источник требований: 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,SRC-DOC-000-00098,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0044,1.0,CORE,CASA Pro Core,UI,§05 Профиль клиента,Зачем: создать единый профиль и не заставлять брокера повторять уже известные данные,Зачем: создать единый профиль и не заставлять брокера повторять уже известные данные,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00102,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0045,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§05 Профиль клиента,Вход: опубликованные снимки ИИН/КИ/пенсионных и ручные ответы клиента,Вход: опубликованные снимки ИИН/КИ/пенсионных и ручные ответы клиента,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00103,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0046,1.0,CORE,CASA Pro Core,SNAPSHOT,§05 Профиль клиента,"Действие и выход: добавляет только недостающие факты о цели, участниках, работе, доходах, активах и ПВ; фиксирует конфликты → неизменяемый client_profile_snapshot","Действие и выход: добавляет только недостающие факты о цели, участниках, работе, доходах, активах и ПВ; фиксирует конфликты → неизменяемый client_profile_snapshot",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00104,,,,DATA,,,,,,Canonical source-backed rule
CORE-REQ-0047,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§05 Профиль клиента,Источник требований: 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,Источник требований: 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00106,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0048,1.0,CORE,CASA Pro Core,CALCULATION,§06 Финансовые расчёты,"Вход: подтверждённый профиль, текущие обязательства, цель покупки и разрешённые параметры","Вход: подтверждённый профиль, текущие обязательства, цель покупки и разрешённые параметры",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00109,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0049,1.0,CORE,CASA Pro Core,FORMULA,§06 Финансовые расчёты,"Действие и выход: применяет утверждённые формулы и фиксирует входы, версию и результат → расчётные показатели CASA и список UNKNOWN/блокеров","Действие и выход: применяет утверждённые формулы и фиксирует входы, версию и результат → расчётные показатели CASA и список UNKNOWN/блокеров",,,,UNKNOWN,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00110,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0050,1.0,CORE,CASA Pro Core,CALCULATION,§06 Финансовые расчёты,"Не делает: не создаёт банковское правило, не угадывает зарплату и не заменяет неизвестное нулём","Не делает: не создаёт банковское правило, не угадывает зарплату и не заменяет неизвестное нулём",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00111,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0051,1.0,CORE,CASA Pro Core,FORMULA,§06 Финансовые расчёты,Источник требований: MASTER + продуктовые документы; отдельная техническая спецификация формул среди вложений отсутствует; DONE по точным формулам заблокирован до утверждённого каталога формул и эталонов,Источник требований: MASTER + продуктовые документы; отдельная техническая спецификация формул среди вложений отсутствует; DONE по точным формулам заблокирован до утверждённого каталога формул и эталонов,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00112,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0052,1.0,CORE,CASA Pro Core,VALIDATION,§07 База условий банков (Bank Rules Engine),Зачем: хранить проверяемые и версионные условия программ,Зачем: хранить проверяемые и версионные условия программ,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§07 База условий банков (Bank Rules Engine),SRC-DOC-000-00114,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0053,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§07 База условий банков (Bank Rules Engine),"Вход: 05 Bank Rules Standard и утверждённые отдельные пакеты правил конкретных банков с источниками, версиями и владельцами","Вход: 05 Bank Rules Standard и утверждённые отдельные пакеты правил конкретных банков с источниками, версиями и владельцами",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§07 База условий банков (Bank Rules Engine),SRC-DOC-000-00115,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
