api_id,module_id,method,source_path,canonical_path,scope_type,purpose,request,response,preconditions,authorization,consent_requirement,idempotency,concurrency,error_behavior,forbidden_behavior,source_documents,source_sections,governance_decision_id,status
API-M03-008,M03,POST,/api/v2/credit-reports/{reportId}:verify-authenticity-manually,/api/v2/credit-reports/{reportId}:verify-authenticity-manually,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:verify-authenticity-manually; Назначение: Зафиксировать manual bureau check; evidence required,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:verify-authenticity-manually; Назначение: Зафиксировать manual bureau check; evidence required,,,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-009,M03,POST,/api/v2/credit-reports/{reportId}:publish-snapshot,/api/v2/credit-reports/{reportId}:publish-snapshot,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:publish-snapshot; Назначение: Проверить gates и создать immutable snapshot,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:publish-snapshot; Назначение: Проверить gates и создать immutable snapshot,,,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-010,M03,GET,/api/v2/credit-history-snapshots/{snapshotId},/api/v2/credit-history-snapshots/{snapshotId},RESOURCE_SCOPED,Method: GET; Endpoint: /api/v2/credit-history-snapshots/{snapshotId}; Назначение: Нейтральный published payload,,Method: GET; Endpoint: /api/v2/credit-history-snapshots/{snapshotId}; Назначение: Нейтральный published payload,,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-011,M03,POST,/api/v2/credit-reports/{reportId}:supersede,/api/v2/credit-reports/{reportId}:supersede,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:supersede; Назначение: Привязать новую report version; не hard delete,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:supersede; Назначение: Привязать новую report version; не hard delete,,,,,,,,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}:supersede; Назначение: Привязать новую report version; не hard delete,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M04-001,M04,POST,/api/v2/cases/{caseId}/pension-documents,/api/v2/cases/{caseId}/pension-documents,CASE_SCOPED,Method: POST; Path: /api/v2/cases/{caseId}/pension-documents; Purpose: Upload metadata + signed upload intent,Method: POST; Path: /api/v2/cases/{caseId}/pension-documents; Purpose: Upload metadata + signed upload intent,,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-002,M04,POST,/api/v2/pension-documents/{id}:complete-upload,/api/v2/pension-documents/{id}:complete-upload,RESOURCE_SCOPED,Method: POST; Path: /api/v2/pension-documents/{id}:complete-upload; Purpose: Hash/scan/quarantine/classify,Method: POST; Path: /api/v2/pension-documents/{id}:complete-upload; Purpose: Hash/scan/quarantine/classify,,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-003,M04,POST,/api/v2/pension-documents/{id}:parse,/api/v2/pension-documents/{id}:parse,RESOURCE_SCOPED,Method: POST; Path: /api/v2/pension-documents/{id}:parse; Purpose: Create parse_run; idempotency=documentHash+parserVersion,Method: POST; Path: /api/v2/pension-documents/{id}:parse; Purpose: Create parse_run; idempotency=documentHash+parserVersion,,,,,Method: POST; Path: /api/v2/pension-documents/{id}:parse; Purpose: Create parse_run; idempotency=documentHash+parserVersion,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-004,M04,GET,/api/v2/pension-documents/{id}/review,/api/v2/pension-documents/{id}/review,RESOURCE_SCOPED,Method: GET; Path: /api/v2/pension-documents/{id}/review; Purpose: Header/rows/months/senders/tasks/evidence refs,,Method: GET; Path: /api/v2/pension-documents/{id}/review; Purpose: Header/rows/months/senders/tasks/evidence refs,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-005,M04,PATCH,/api/v2/pension-records/{id},/api/v2/pension-records/{id},RESOURCE_SCOPED,Method: PATCH; Path: /api/v2/pension-records/{id}; Purpose: Reviewed correction with If-Match + reason,Method: PATCH; Path: /api/v2/pension-records/{id}; Purpose: Reviewed correction with If-Match + reason,,,,,,Method: PATCH; Path: /api/v2/pension-records/{id}; Purpose: Reviewed correction with If-Match + reason,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-006,M04,POST,/api/v2/pension-documents/{id}:confirm,/api/v2/pension-documents/{id}:confirm,RESOURCE_SCOPED,Method: POST; Path: /api/v2/pension-documents/{id}:confirm; Purpose: Close gates; create confirmed fact revision,Method: POST; Path: /api/v2/pension-documents/{id}:confirm; Purpose: Close gates; create confirmed fact revision,,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-007,M04,POST,/api/v2/pension-documents/{id}:publish-snapshot,/api/v2/pension-documents/{id}:publish-snapshot,RESOURCE_SCOPED,Method: POST; Path: /api/v2/pension-documents/{id}:publish-snapshot; Purpose: Immutable snapshot or gate failures,Method: POST; Path: /api/v2/pension-documents/{id}:publish-snapshot; Purpose: Immutable snapshot or gate failures,,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M04-008,M04,GET,/api/v2/pension-contribution-snapshots/{id},/api/v2/pension-contribution-snapshots/{id},RESOURCE_SCOPED,Method: GET; Path: /api/v2/pension-contribution-snapshots/{id}; Purpose: Stable neutral payload,,Method: GET; Path: /api/v2/pension-contribution-snapshots/{id}; Purpose: Stable neutral payload,,,,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки",,APPROVED
API-M05-001,M05,GET,/api/v2/cases/{caseId}/client-profile,/api/v2/cases/{caseId}/client-profile,CASE_SCOPED,Method: GET; Endpoint: /api/v2/cases/{caseId}/client-profile; Назначение: анкета + section statuses + source refs,,Method: GET; Endpoint: /api/v2/cases/{caseId}/client-profile; Назначение: анкета + section statuses + source refs,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-002,M05,PATCH,/api/v2/cases/{caseId}/client-profile,/api/v2/cases/{caseId}/client-profile,CASE_SCOPED,Method: PATCH; Endpoint: /api/v2/cases/{caseId}/client-profile; Назначение: редактируемые goal/household поля с If-Match,Method: PATCH; Endpoint: /api/v2/cases/{caseId}/client-profile; Назначение: редактируемые goal/household поля с If-Match,,,,,,Method: PATCH; Endpoint: /api/v2/cases/{caseId}/client-profile; Назначение: редактируемые goal/household поля с If-Match,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-003,M05,POST,/api/v2/cases/{caseId}/participants,/api/v2/cases/{caseId}/participants,CASE_SCOPED,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants; Назначение: добавить spouse/co-borrower/participant,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants; Назначение: добавить spouse/co-borrower/participant,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-004,M05,POST/PATCH,/api/v2/employments,/api/v2/employments,RESOURCE_SCOPED,Method: POST/PATCH; Endpoint: /api/v2/employments; Назначение: занятость,Method: POST/PATCH; Endpoint: /api/v2/employments; Назначение: занятость,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-005,M05,POST/PATCH,/api/v2/income-sources,/api/v2/income-sources,RESOURCE_SCOPED,Method: POST/PATCH; Endpoint: /api/v2/income-sources; Назначение: источник дохода,Method: POST/PATCH; Endpoint: /api/v2/income-sources; Назначение: источник дохода,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-006,M05,POST/PATCH,/api/v2/assets,/api/v2/assets,RESOURCE_SCOPED,Method: POST/PATCH; Endpoint: /api/v2/assets; Назначение: актив,Method: POST/PATCH; Endpoint: /api/v2/assets; Назначение: актив,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-007,M05,POST/PATCH,/api/v2/down-payment-sources,/api/v2/down-payment-sources,RESOURCE_SCOPED,Method: POST/PATCH; Endpoint: /api/v2/down-payment-sources; Назначение: источник взноса,Method: POST/PATCH; Endpoint: /api/v2/down-payment-sources; Назначение: источник взноса,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-008,M05,POST/PATCH,/api/v2/non-credit-commitments,/api/v2/non-credit-commitments,RESOURCE_SCOPED,Method: POST/PATCH; Endpoint: /api/v2/non-credit-commitments; Назначение: обязательства вне ПКО,Method: POST/PATCH; Endpoint: /api/v2/non-credit-commitments; Назначение: обязательства вне ПКО,,,,,,,,Method: POST/PATCH; Endpoint: /api/v2/non-credit-commitments; Назначение: обязательства вне ПКО,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-009,M05,POST,/api/v2/cases/{caseId}/client-profile:reconcile,/api/v2/cases/{caseId}/client-profile:reconcile,CASE_SCOPED,Method: POST; Endpoint: /api/v2/cases/{caseId}/client-profile:reconcile; Назначение: пересчитать completeness/conflicts,Method: POST; Endpoint: /api/v2/cases/{caseId}/client-profile:reconcile; Назначение: пересчитать completeness/conflicts,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M05-010,M05,POST,/api/v2/cases/{caseId}/client-profile:publish-snapshot,/api/v2/cases/{caseId}/client-profile:publish-snapshot,CASE_SCOPED,Method: POST; Endpoint: /api/v2/cases/{caseId}/client-profile:publish-snapshot; Назначение: publish immutable snapshot после gates,Method: POST; Endpoint: /api/v2/cases/{caseId}/client-profile:publish-snapshot; Назначение: publish immutable snapshot после gates,,,,,,,,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,,APPROVED
API-M06-001,M06,POST,/api/v2/cases/{caseId}/calculation-runs,/api/v2/cases/{caseId}/calculation-runs,CASE_SCOPED,Method: POST; Path: /api/v2/cases/{caseId}/calculation-runs; Purpose: Create deterministic run; Idempotency-Key required.,Method: POST; Path: /api/v2/cases/{caseId}/calculation-runs; Purpose: Create deterministic run; Idempotency-Key required.,,,,,Method: POST; Path: /api/v2/cases/{caseId}/calculation-runs; Purpose: Create deterministic run; Idempotency-Key required.,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,API surface,,APPROVED
API-M06-002,M06,GET,/api/v2/cases/{caseId}/calculation-runs/{runId},/api/v2/cases/{caseId}/calculation-runs/{runId},CASE_SCOPED,Method: GET; Path: /api/v2/cases/{caseId}/calculation-runs/{runId}; Purpose: Read run/results/blockers in case scope.,,Method: GET; Path: /api/v2/cases/{caseId}/calculation-runs/{runId}; Purpose: Read run/results/blockers in case scope.,,,,,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,API surface,,APPROVED
API-M06-003,M06,GET,/api/v2/cases/{caseId}/calculation-snapshots/{snapshotId},/api/v2/cases/{caseId}/calculation-snapshots/{snapshotId},CASE_SCOPED,Method: GET; Path: /api/v2/cases/{caseId}/calculation-snapshots/{snapshotId}; Purpose: Read immutable published snapshot.,,Method: GET; Path: /api/v2/cases/{caseId}/calculation-snapshots/{snapshotId}; Purpose: Read immutable published snapshot.,,,,,,,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,API surface,,APPROVED
