invariant_id,module_id,object_name,invariant,forbidden_behavior,source_documents,source_sections,source_extract_ids,acceptance_test_ids,developer_task_ids
INV-0015,M02,client_check_batch,"MUST обеспечить idempotency, tenant isolation, RBAC, MFA, rate limits, retries/backoff и schema quarantine.","MUST обеспечить idempotency, tenant isolation, RBAC, MFA, rate limits, retries/backoff и schema quarantine.",CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,"§13.3 Обязательные MUST/MUST NOT|Что уже сделано правильно|R0 считается DONE без production API calls, когда|§16 Security / privacy / audit|§21 Current implementation → target|Входит в R0",SRC-DOC-M02-P-00556|SRC-DOC-M02-P-00053|SRC-DOC-M02-I-00301|SRC-DOC-M02-I-00214|SRC-DOC-M02-I-00287|SRC-DOC-M02-I-00041,AT-IIN-018,M02-TASK-019|M02-TASK-020
INV-0016,M02,consent,"STALE НЕ УДАЛЯЕТ ИСТОРИЮ  Просроченный result остаётся видимым и immutable, но не считается текущим подтверждением. Refresh создаёт новый batch/result с supersedes_id и повторно проверяет consent/source gates.: STALE НЕ УДАЛЯЕТ ИСТОРИЮ  Просроченный result остаётся видимым и immutable, но не считается текущим подтверждением. Refresh создаёт новый batch/result с supersedes_id и повторно проверяет consent/source gates.",,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§13 Freshness|§6 Пользовательский путь,SRC-DOC-M02-I-00175|SRC-DOC-M02-I-00064,,
INV-0017,M02,identity_version,Gate: IDENTITY_BINDING; Проверка: borrower_id + identity_version + tenant/case.; При нарушении: Запуск блокирован.; Непреложный инвариант: Исправление ИИН создаёт новую identity version; старый batch immutable.,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§7 Проверка ИИН и consent gates,SRC-DOC-M02-I-00076,,
INV-0018,M03,case,Cross-tenant/case access denied; logs contain no full PII/contract/raw PDF text.,Cross-tenant/case access denied; logs contain no full PII/contract/raw PDF text.,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,"Негативные и пограничные проверки, которые нельзя пропустить",SRC-DOC-M03-I-00372,,
INV-0019,M03,consent,"Шаг: 8. Подтверждение; Что видит/делает брокер: Нажимает «Подтвердить факты и создать снимок».; Что делает система: Проверяет gates и публикует immutable snapshot.; Состояние: VERIFIED_FOR_INTERNAL_USE; Блокер: Consent, subject, critical issue, lineage.",,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§5 Пользовательский путь,SRC-DOC-M03-I-00065,,
INV-0020,M03,credit_history_snapshot,Только immutable credit_history_snapshot:,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16.1 Что передаётся|§21.1 Manifest v1|§17 Выходной snapshot,SRC-DOC-M03-P-00575|SRC-DOC-M03-P-00784|SRC-DOC-M03-I-00312,,
INV-0021,M03,credit_report,"immutable append-only audit для upload, view, download, extraction, correction, merge/split, export, snapshot, deletion/restriction;",,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§17.1 Обязательные controls|Безопасность и аудит,SRC-DOC-M03-P-00606|SRC-DOC-M03-I-00306,,
INV-0022,M03,credit_report,после ручного подтверждения создать неизменяемый версионный snapshot для следующих модулей.,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§1.1 Что CASA реально делает|§15.1 Command/API surface|§17.1 Обязательные controls|§2.2 Что уже правильно в v2.0|§21.1 Manifest v1|§6.2 Технический intake|§7.1 Этапы|§8.1 Сущности|§21 Как принимается M03|Безопасность и аудит|Входит в M03 релиза 1.0|Практическая реализация|Что видит брокер при неоднозначности,SRC-DOC-M03-P-00041|SRC-DOC-M03-P-00532|SRC-DOC-M03-P-00606|SRC-DOC-M03-P-00064|SRC-DOC-M03-P-00779|SRC-DOC-M03-P-00180|SRC-DOC-M03-P-00202|SRC-DOC-M03-P-00210|SRC-DOC-M03-P-00295|SRC-DOC-M03-P-00311|SRC-DOC-M03-I-00428|SRC-DOC-M03-I-00305|SRC-DOC-M03-I-00038|SRC-DOC-M03-I-00201|SRC-DOC-M03-I-00209,CH-077,M03-TASK-015|M03-TASK-019
INV-0023,M04,consent,"Наследование без повторения
Tenant/case ACL, purpose-bound consent, encrypted storage, malware quarantine, PII-free logs, audit, retention, text-layer-first OCR, selective crops, manual corrections и immutable snapshots наследуются из утверждённых блоков №1–2. Здесь определена только delta для пенсионных выписок.: Наследование без повторения
Tenant/case ACL, purpose-bound consent, encrypted storage, malware quarantine, PII-free logs, audit, retention, text-layer-first OCR, selective crops, manual corrections и immutable snapshots наследуются из утверждённых блоков №1–2. Здесь определена только delta для пенсионных выписок.","Наследование без повторения
Tenant/case ACL, purpose-bound consent, encrypted storage, malware quarantine, PII-free logs, audit, retention, text-layer-first OCR, selective crops, manual corrections и immutable snapshots наследуются из утверждённых блоков №1–2. Здесь определена только delta для пенсионных выписок.: Наследование без повторения
Tenant/case ACL, purpose-bound consent, encrypted storage, malware quarantine, PII-free logs, audit, retention, text-layer-first OCR, selective crops, manual corrections и immutable snapshots наследуются из утверждённых блоков №1–2. Здесь определена только delta для пенсионных выписок.",03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"Решения, которые нельзя менять реализацией",SRC-DOC-M04-P-00033,,
INV-0024,M04,pension_document,Публикует immutable pension_contribution_profile_snapshot после закрытия blocking gates.,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,"§1.1 Что блок делает|§13 API, gates и ошибки|§17.1 Final implementation contract|§5 Каноническая модель данных|§5.2 Canonical contribution_record|§6 Parsing и reconciliation|§21 Разбор текущего demo — KEEP / CHANGE / REMOVE / ADD|§5 Пользовательский путь|§7 Строки пенсионных|Входит в M04 релиза 1.0|Как принимается M04",SRC-DOC-M04-P-00042|SRC-DOC-M04-P-00695|SRC-DOC-M04-P-00832|SRC-DOC-M04-P-00173|SRC-DOC-M04-P-00174|SRC-DOC-M04-P-00182|SRC-DOC-M04-P-00195|SRC-DOC-M04-P-00256|SRC-DOC-M04-I-00355|SRC-DOC-M04-I-00368|SRC-DOC-M04-I-00061|SRC-DOC-M04-I-00067|SRC-DOC-M04-I-00094|SRC-DOC-M04-I-00046|SRC-DOC-M04-I-00402,AT-PC-002|AT-PC-020|AT-PC-022,M04-TASK-001|M04-TASK-020|M04-TASK-016|M04-TASK-017|M04-TASK-019
INV-0025,M04,pension_document,pension_contribution_profile_snapshot — единственный стабильный downstream contract; consumer не читает PDF.,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§12 Snapshot для Bank Rules Engine|§12.1 Consumer contract,SRC-DOC-M04-P-00449|SRC-DOC-M04-P-00451,,
INV-0026,M04,pension_document,retry idempotent; exact duplicate не создаёт второй parse/snapshot; tenant isolation проверяется тестами.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,Безопасность и аудит,SRC-DOC-M04-I-00277,,
INV-0027,M05,case,"Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.: Наследование
Tenant/case ACL, согласия, шифрование, audit, immutable snapshots, UNKNOWN ≠ 0, provenance/evidence и review-подход наследуются из уже закрытых блоков №1–3. Здесь описана только анкета и сбор недостающих клиентских фактов.",,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§1 Scope и границы|§23 Snapshot / downstream contract,SRC-DOC-M05-P-00009|SRC-DOC-M05-I-00275,,
INV-0028,M05,client_profile,Method: POST; Endpoint: /api/v2/cases/{caseId}/client-profile:publish-snapshot; Назначение: publish immutable snapshot после gates,,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§16 API / события — минимальный surface|API surface — namespace compatibility,SRC-DOC-M05-P-00235|SRC-DOC-M05-I-00297,,
INV-0029,M05,client_profile_snapshot,"Сущность: client_profile_snapshot; Назначение: immutable payload, который потребляет Bank Rules Engine",,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§14 Каноническая модель и snapshot|§4 Цель покупки и бюджет|§21 Freshness / rebuild|§28 KEEP / CHANGE / REMOVE / ADD|Входит в M05,SRC-DOC-M05-P-00203|SRC-DOC-M05-P-00047|SRC-DOC-M05-I-00257|SRC-DOC-M05-I-00396|SRC-DOC-M05-I-00044,CPG-01|CP-029,M05-TASK-026
INV-0030,M05,client_profile_snapshot,"published snapshot mutable, unreplayable, cross-tenant accessible или downstream требует raw PDF;",,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,"M05 ENGINEERING НЕ DONE, если",SRC-DOC-M05-I-00425,,
INV-0031,M05,credit_history_snapshot,Блок snapshot: Upstream; Содержание: iin_check_batch_id → M02 client_check_batch.batch_id; credit_history_snapshot_id; pension_snapshot_id + selected hashes/quality refs; Инвариант: новой IIN snapshot entity нет; никакого raw PDF,,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§23 Snapshot / downstream contract,SRC-DOC-M05-I-00277,,
INV-0032,M06,calculation_run,"NO PDF  calculation_run accepts no document bytes, page text, OCR result or raw payload. It consumes only immutable snapshot/metric references and explicit calculation parameters.: NO PDF  calculation_run accepts no document bytes, page text, OCR result or raw payload. It consumes only immutable snapshot/metric references and explicit calculation parameters.",,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§21 Calculation run|§15 Calculation run|§4 Scope / Not Scope,SRC-DOC-M06-P-00277|SRC-DOC-M06-P-00267|SRC-DOC-M06-I-00199|SRC-DOC-M06-I-00046,,
INV-0033,M06,calculation_snapshot,"Block: Envelope; Required content: schema_version, calculation_snapshot_id, tenant_id, case_id, status, calculated_at; Invariant: immutable",,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§22 Calculation snapshot|§16 Calculation snapshot|§23 Recalculation / supersede|§6 Ownership Matrix M03/M04/M05/M06/Bank Rules/Scenario|Входит в M06 1.0|API surface|M05 Metric Resolver|§2 Назначение|§25 Golden E2E — FX-CALC-GOLDEN-001,SRC-DOC-M06-P-00281|SRC-DOC-M06-I-00224|SRC-DOC-M06-P-00296|SRC-DOC-M06-P-00297|SRC-DOC-M06-P-00298|SRC-DOC-M06-P-00090|SRC-DOC-M06-P-00048|SRC-DOC-M06-I-00219|SRC-DOC-M06-I-00131|SRC-DOC-M06-I-00234|SRC-DOC-M06-I-00029|SRC-DOC-M06-I-00364,,
INV-0034,M06,calculation_snapshot,"M06 выполняет только утверждённые математические преобразования над уже опубликованными и адресно связанными входами. Он не читает PDF, не восстанавливает неизвестный факт, не выбирает банк и не меняет смысл upstream значения.",,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§2 Назначение M06|Required E2E assertions,SRC-DOC-M06-P-00023|SRC-DOC-M06-I-00374,,
INV-0035,M06,calculation_snapshot,"NO SECOND AGGREGATE  Resolver reads the approved M05 metric. It must not iterate down_payment_sources, assets or collateral. If the metric is unavailable, result is BLOCKED; developer does not reconstruct it.: NO SECOND AGGREGATE  Resolver reads the approved M05 metric. It must not iterate down_payment_sources, assets or collateral. If the metric is unavailable, result is BLOCKED; developer does not reconstruct it.","NO SECOND AGGREGATE  Resolver reads the approved M05 metric. It must not iterate down_payment_sources, assets or collateral. If the metric is unavailable, result is BLOCKED; developer does not reconstruct it.: NO SECOND AGGREGATE  Resolver reads the approved M05 metric. It must not iterate down_payment_sources, assets or collateral. If the metric is unavailable, result is BLOCKED; developer does not reconstruct it.",M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Reference pseudocode,SRC-DOC-M06-I-00098,,
INV-0036,M06,calculation_snapshot,"ONE OWNER  Один показатель не может одновременно принадлежать M05 и M06. M06 сохраняет upstream value/reference, но не создаёт вторую истину.: ONE OWNER  Один показатель не может одновременно принадлежать M05 и M06. M06 сохраняет upstream value/reference, но не создаёт вторую истину.",,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§6 Ownership Matrix M03/M04/M05/M06/Bank Rules/Scenario,SRC-DOC-M06-P-00094,,
INV-0037,M06,calculation_snapshot,Cross-tenant GET is denied without existence leak; no raw PDF or full IIN appears in logs/audit/export.,,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Required E2E assertions|§20 Security / audit,SRC-DOC-M06-I-00374|SRC-DOC-M06-I-00273,,
INV-0038,M06,case,Field: tenant_id / case_id; Contract: M01 access scope; no cross-tenant existence leak.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§21 Calculation run|§15 Calculation run,SRC-DOC-M06-P-00268|SRC-DOC-M06-I-00200,,
INV-0039,M06,client_profile_snapshot,Field: client_profile_snapshot_id/hash; Contract: Required and immutable; sole profile data source.,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§21 Calculation run|§15 Calculation run|§2 Назначение,SRC-DOC-M06-P-00270|SRC-DOC-M06-I-00202|SRC-DOC-M06-I-00027,,
INV-0040,M06,client_profile_snapshot,Block: Profile; Required content: client_profile_snapshot_id/hash/schema; Invariant: no raw PDF,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4|M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§22 Calculation snapshot|§16 Calculation snapshot,SRC-DOC-M06-P-00282|SRC-DOC-M06-I-00225,,
