module_id,code,type,internal_meaning,broker_text_ru,condition,allowed_action,blocked_action,downstream_effect,source_document,source_section
M01,NOT_INCLUDED,STATE,Не включён в анализ,Изменить только по разрешённому flow,Не включён в анализ,Участник не включён в текущий анализ.,Изменить только по разрешённому flow,No data processing,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M02,A-01,ERROR,`source_check` имеет scope `global_reference` и связан с `rule_source/program_version`.,"Создать tenant-owned `client_check_batch`, `client_check_result`, `client_check_fact`; не переиспользовать `source_check`.",`source_check` имеет scope `global_reference` и связан с `rule_source/program_version`.,"Это мониторинг банковских правил, не запись проверки клиента.","Создать tenant-owned `client_check_batch`, `client_check_result`, `client_check_fact`; не переиспользовать `source_check`.",,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-02,ERROR,UI показывает общий зелёный статус «Проверено: записей нет».,"Показывать покрытие: «3 из 7 завершено», затем поисточниковые результаты.",UI показывает общий зелёный статус «Проверено: записей нет».,"Не видно, какие источники отвечали, какие были недоступны/ручные.","Показывать покрытие: «3 из 7 завершено», затем поисточниковые результаты.",,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-03,ERROR,Одна кнопка без precondition/gate semantics.,"До первого вызова: checksum ИИН, active consent, source manifest, legal flag, токен, rate limit.",Одна кнопка без precondition/gate semantics.,Можно запустить обработку без предметного согласия или legal approval.,"До первого вызова: checksum ИИН, active consent, source manifest, legal flag, токен, rate limit.",,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-04,ERROR,Не определён контракт результата `no_records` по каждому источнику.,`not_found` только по документированному upstream no-match/полной успешной выборке.,Не определён контракт результата `no_records` по каждому источнику.,"HTTP 404/403, CAPTCHA и пустой ответ могут ошибочно стать «ничего не найдено».",`not_found` только по документированному upstream no-match/полной успешной выборке.,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-05,ERROR,Нет доказуемой связи результата с источником/версией коннектора.,"Сохранять source URL, request/response IDs, source_data_as_of, connector version, evidence hash.",Нет доказуемой связи результата с источником/версией коннектора.,Нельзя воспроизвести проверку и оспорить факт.,"Сохранять source URL, request/response IDs, source_data_as_of, connector version, evidence hash.",,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-06,ERROR,В текущем `source_check` предлагается бессрочное хранение.,Обязательный `retention_policy_id`; raw payload по умолчанию не хранить.,В текущем `source_check` предлагается бессрочное хранение.,Для клиентских персональных данных это несоразмерно и не утверждено.,Обязательный `retention_policy_id`; raw payload по умолчанию не хранить.,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,A-07,ERROR,"Экран визуально смешивает документы, ИИН и последующий «решающий» блок.",Добавить явную маркировку «Факт источника — не решение банка» и отдельный слой интерпретации.,"Экран визуально смешивает документы, ИИН и последующий «решающий» блок.",Пользователь может принять факт реестра за банковский отказ/одобрение.,Добавить явную маркировку «Факт источника — не решение банка» и отдельный слой интерпретации.,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,"Ошибки и опасные предположения, которые надо исправить"
M02,Проверено,STATE,completed + outcome=zero/not_applicable или нейтральный факт,Нейтральный teal; иконка + текст,completed + outcome=zero/not_applicable или нейтральный факт,Проверено • источник • дата,Открыть детали / обновить,Нейтральный teal; иконка + текст,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Не найдено,STATE,completed + документированный not_found,Не писать «чисто/одобрено»,completed + документированный not_found,Записей не найдено в [источник],Открыть доказательство / обновить,Не писать «чисто/одобрено»,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Найдено,STATE,completed + outcome=found,"Amber, не автоматический красный отказ",completed + outcome=found,Найдена запись • это не решение банка,Открыть факты,"Amber, не автоматический красный отказ",CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Требуется ручная проверка,STATE,manual_required,CAPTCHA остаётся человеку,manual_required,Нужна ручная проверка на официальном сайте,Открыть официальный сервис / подтвердить,CAPTCHA остаётся человеку,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Нужно согласие,STATE,consent_required,Блокирует вызов,consent_required,Нужно согласие клиента; запросы не выполнялись,Запросить согласие,Блокирует вызов,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Источник недоступен,STATE,source_unavailable,Не показывать not_found,source_unavailable,Источник временно недоступен,Повторить / ручная проверка,Не показывать not_found,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Источник устарел,STATE,stale или now > fresh_until,"Старый факт виден с датой, но coverage не complete",stale или now > fresh_until,Результат устарел,Обновить,"Старый факт виден с датой, но coverage не complete",CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Юридический статус не подтверждён,STATE,legal_unconfirmed,Admin видит approval ID/gate,legal_unconfirmed,Автоматическая проверка недоступна: правовой допуск не подтверждён,Ручной разрешённый путь / нет действия,Admin видит approval ID/gate,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Нужен доступ,STATE,access_required,Риелтору — безопасный текст,access_required,Нет API-токена/одобрения владельца,Admin: настроить источник,Риелтору — безопасный текст,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Запрещено,STATE,not_allowed,Обычно скрыта; audit/admin only,not_allowed,Эта проверка не используется CASA,Нет,Обычно скрыта; audit/admin only,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Выполняется,STATE,queued/running,Отмена не гарантирует отмену upstream; refresh disabled,queued/running,Проверяем официальный источник…,Отмена не гарантирует отмену upstream; refresh disabled,Progress + source name,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,Ошибка схемы/доказательства,STATE,error,Не превращать в unknown/not_found,error,Результат не подтверждён,Повторить / отправить на review,Не превращать в unknown/not_found,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§9 Состояния интерфейса
M02,queued / running,STATE,Проверяем официальный источник…,Progress + source name; не только цвет.,Проверяем официальный источник…,Подождать; refresh disabled,Incomplete,Progress + source name; не только цвет.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,completed + found,STATE,"Найдена запись. Это факт официального источника, а не решение банка.","Amber, не красный банковский отказ.","Найдена запись. Это факт официального источника, а не решение банка.",Открыть факты,Completed; found,"Amber, не красный банковский отказ.",M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,completed + not_found,STATE,Записей не найдено в [источник].,Только documented no-match.,Записей не найдено в [источник].,Открыть доказательство / обновить,Proven negative,Только documented no-match.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,completed + zero/not_applicable,STATE,Проверено: [нейтральный исход] • [источник] • [дата].,Не писать «чисто/одобрено».,Проверено: [нейтральный исход] • [источник] • [дата].,Открыть детали / обновить,Completed,Не писать «чисто/одобрено».,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,manual_required,STATE,Нужна ручная проверка на официальном сайте.,CAPTCHA остаётся человеку.,Нужна ручная проверка на официальном сайте.,Открыть официальный сервис,Incomplete,CAPTCHA остаётся человеку.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,consent_required,STATE,Нужно согласие клиента. Запросы не выполнялись.,Нет попытки внешнего вызова.,Нужно согласие клиента. Запросы не выполнялись.,Запросить согласие,Blocked,Нет попытки внешнего вызова.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,source_unavailable,STATE,Источник временно недоступен.,Никогда не not_found.,Источник временно недоступен.,Повторить / ручная проверка,Incomplete,Никогда не not_found.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,stale,STATE,Результат устарел.,Старый факт виден с датой.,Результат устарел.,Обновить,Incomplete/current,Старый факт виден с датой.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,legal_unconfirmed,STATE,Автоматическая проверка пока недоступна: правовой допуск не подтверждён.,Не FAIL клиента.,Автоматическая проверка пока недоступна: правовой допуск не подтверждён.,Разрешённый ручной путь,Blocked/partial,Не FAIL клиента.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,access_required,STATE,Автоматическая проверка пока не подключена.,Без token details для брокера.,Автоматическая проверка пока не подключена.,Admin: настроить; broker: manual path,Blocked/partial,Без token details для брокера.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,not_allowed,STATE,Эта проверка не используется CASA.,Обычно admin/audit only.,Эта проверка не используется CASA.,Нет,Excluded,Обычно admin/audit only.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,error: schema/evidence,STATE,Результат не подтверждён.,Не unknown/not_found автоматически.,Результат не подтверждён.,Повторить / отправить на проверку,Incomplete,Не unknown/not_found автоматически.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M02,unknown outcome,STATE,Источник не дал однозначного результата.,UNKNOWN не 0/false/clean.,Источник не дал однозначного результата.,Открыть детали / проверить,Incomplete,UNKNOWN не 0/false/clean.,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§15 Statuses / human messages
M03,EXTRACTED,QUALITY,Parser завершился; качество ещё не доказано,Parser завершился; качество ещё не доказано,Parser завершился; качество ещё не доказано,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§12.4 Quality gates
M03,NEEDS_REVIEW,QUALITY,"Есть critical field, mismatch, ambiguity, unsupported zone или unverifiable authenticity","Есть critical field, mismatch, ambiguity, unsupported zone или unverifiable authenticity","Есть critical field, mismatch, ambiguity, unsupported zone или unverifiable authenticity",,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§12.4 Quality gates
M03,RECONCILED,QUALITY,Все applicable critical REC PASS/WAIVED с reviewer reason,Все applicable critical REC PASS/WAIVED с reviewer reason,Все applicable critical REC PASS/WAIVED с reviewer reason,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§12.4 Quality gates
M03,VERIFIED_FOR_INTERNAL_USE,QUALITY,"Consent active, subject match, no blocking errors, critical fields accepted/corrected, lineage resolved, profile generated",,"Consent active, subject match, no blocking errors, critical fields accepted/corrected, lineage resolved, profile generated",,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§12.4 Quality gates
M03,NOT_ELIGIBLE_FOR_SNAPSHOT,QUALITY,"Нет полноты, subject mismatch, authenticity FAILED, unresolved active amount/lineage, revoked consent","Нет полноты, subject mismatch, authenticity FAILED, unresolved active amount/lineage, revoked consent","Нет полноты, subject mismatch, authenticity FAILED, unresolved active amount/lineage, revoked consent",,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§12.4 Quality gates
M03,NOT_UPLOADED,STATE,Нет PDF,"«Загрузите ПКО, полученный клиентом»",Нет PDF,"«Загрузите ПКО, полученный клиентом»",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,CONSENT_REQUIRED,STATE,Нет/отозвано consent,Нет/отозвано consent,Нет/отозвано consent,Upload/processing disabled,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,UPLOADING,STATE,Идёт upload,Идёт upload,Идёт upload,"Progress, cancel if safe",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,QUARANTINED,STATE,Техпроверка,«Проверяем файл»,Техпроверка,«Проверяем файл»,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,PROCESSING,STATE,Parse/OCR,Page/section progress; без фальшивых процентов,Parse/OCR,Page/section progress; без фальшивых процентов,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,NEEDS_REVIEW,STATE,Есть tasks,Число tasks по criticality,Есть tasks,Число tasks по criticality,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,PARTIALLY_VERIFIED,STATE,Некритические tasks остались,Snapshot допустим только по policy,Некритические tasks остались,Snapshot допустим только по policy,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,VERIFIED_FOR_INTERNAL_USE,STATE,Critical gates закрыты,Не называть «Банком подтверждено»,Critical gates закрыты,Не называть «Банком подтверждено»,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,AUTHENTICITY_UNVERIFIED,STATE,Scan/flattened PDF/manual check не пройден,"Жёлтый neutral badge, причина",Scan/flattened PDF/manual check не пройден,"Жёлтый neutral badge, причина",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,STALE,STATE,Report/active records старше process policy,Показать exact ages; «Загрузить новый отчёт»,Report/active records старше process policy,Показать exact ages; «Загрузить новый отчёт»,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,UNSUPPORTED_TEMPLATE,STATE,Неизвестный layout/type,Неизвестный layout/type,Неизвестный layout/type,SAMPLE_REQUIRED; secure manual fallback,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,SOURCE_MISMATCH,STATE,Subject не тот,Блок snapshot; заменить PDF,Subject не тот,Блок snapshot; заменить PDF,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,FAILED,STATE,Blocking technical/error,"Код, понятное действие, retry без duplicate",Blocking technical/error,"Код, понятное действие, retry без duplicate",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,SUPERSEDED,STATE,Есть новая version,Есть новая version,Есть новая version,Read-only history,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§14.3 Состояния UI
M03,CONSENT_MISSING / CONSENT_REVOKED,ERROR,403/no,Получить новое основание; ограничить existing processing,403/no,Да,Получить новое основание; ограничить existing processing,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,FILE_TOO_LARGE,ERROR,413/no,Загрузить допустимый PDF,413/no,Да,Загрузить допустимый PDF,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,FILE_TYPE_MISMATCH,ERROR,415/no,Нужен PDF,415/no,Да,Нужен PDF,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,PASSWORD_PROTECTED,ERROR,422/no,Клиент выгружает незашифованную копию; пароль CASA не принимает,422/no,Да,Клиент выгружает незашифованную копию; пароль CASA не принимает,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,PDF_CORRUPT,ERROR,422/no,Повторная выгрузка из бюро,422/no,Да,Повторная выгрузка из бюро,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,MALWARE_DETECTED,ERROR,422/no,Да,422/no,Да,Quarantine/security incident,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,ACTIVE_CONTENT_BLOCKED,ERROR,422/no,Secure sanitized copy только по policy,422/no,Да,Secure sanitized copy только по policy,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,UNSUPPORTED_REPORT_TYPE,ERROR,422/no,Да,422/no,Да,SAMPLE_REQUIRED/manual workflow,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,UNSUPPORTED_TEMPLATE,ERROR,422/no,Sample collection; не fallback к догадке,422/no,Да,Sample collection; не fallback к догадке,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,MISSING_PAGE / PAGE_SEQUENCE_INVALID,ERROR,422/no,Загрузить полный PDF,422/no,Да,Загрузить полный PDF,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,SUBJECT_MISMATCH,ERROR,409/no,Заменить файл; incident logging без лишней PII,409/no,Да,Заменить файл; incident logging без лишней PII,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,SIGNATURE_INVALID,ERROR,422/no,Manual/authentic copy; не помечать verified,422/no,Да для auto,Manual/authentic copy; не помечать verified,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,AUTHENTICITY_UNVERIFIABLE,ERROR,200/no,Manual bureau check или explicit acceptance,200/no,Warning/gate by policy,Manual bureau check или explicit acceptance,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,TEXT_LAYER_CORRUPT,ERROR,200/yes,Нет,200/yes,Нет,Selective OCR + review,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,OCR_SERVICE_UNAVAILABLE,ERROR,503/yes,"Exponential retry, без duplicate run",503/yes,Да если OCR нужен,"Exponential retry, без duplicate run",,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,PROCESSING_TIMEOUT,ERROR,504/yes,Да,504/yes,Да,Resume by stage/checkpoint,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,SCHEMA_DRIFT_DETECTED,ERROR,422/no,Отключить template auto-confirm,422/no,Да,Отключить template auto-confirm,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,REQUIRED_FIELD_MISSING,ERROR,200/no,Да для snapshot,200/no,Да для snapshot,Manual review/UNKNOWN,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,SUMMARY_TOTAL_MISMATCH,ERROR,200/no,Открыть reconciliation diff,200/no,Да для affected metric,Открыть reconciliation diff,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,CONTRACT_COUNT_MISMATCH,ERROR,200/no,Да,200/no,Да,Page/segmentation review,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,MONEY_TOTAL_MISMATCH,ERROR,200/no,Да для current profile,200/no,Да для current profile,Money review,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,ASSIGNMENT_LINK_AMBIGUOUS,ERROR,200/no,Да для lineage,200/no,Да для lineage,Merge/keep decision,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,AMBIGUOUS_CURRENT_NODE,ERROR,200/no,Да для current total,200/no,Да для current total,Resolve source state,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,NULL_ZERO_AMBIGUOUS,ERROR,200/no,Да если critical,200/no,Да если critical,Presence review,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,REPORT_STALE / ACTIVE_RECORD_STALE,ERROR,200/no,Новый PDF; exact age shown,200/no,Process policy,Новый PDF; exact age shown,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,REVIEW_CONFLICT,ERROR,409/yes after refresh,Optimistic concurrency; не overwrite reviewer,409/yes after refresh,Да,Optimistic concurrency; не overwrite reviewer,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,SNAPSHOT_GATE_FAILED,ERROR,409/no,Возврат списка unresolved gate codes,409/no,Да,Возврат списка unresolved gate codes,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.4 Ошибки
M03,CH-011,QUALITY,Regression PKO,,Regression PKO,"Bureau=FCB, kind=FULL_PERSONAL, report_at=08.08.2026 09:51:38",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-012,QUALITY,Regression PKO,,Regression PKO,"pages_actual=pages_declared=29, sequence 1…29 PASS",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-013,QUALITY,"Удалена стр. 12, footer 11/29→13/29","Удалена стр. 12, footer 11/29→13/29","Удалена стр. 12, footer 11/29→13/29","MISSING_PAGE, snapshot blocked",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-014,QUALITY,Две страницы поменяны местами,Две страницы поменяны местами,Две страницы поменяны местами,PAGE_SEQUENCE_INVALID,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-015,QUALITY,Неизвестный FCB layout,"UNSUPPORTED_TEMPLATE, не пытаться разобрать по closest template",Неизвестный FCB layout,"UNSUPPORTED_TEMPLATE, не пытаться разобрать по closest template",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-016,QUALITY,GCB PDF без approved sample set,GCB PDF без approved sample set,GCB PDF без approved sample set,"SAMPLE_REQUIRED, production parser off",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-017,QUALITY,Regression PDF без cryptographic signature,"UNVERIFIED_FLATTENED_PDF, не VERIFIED",Regression PDF без cryptographic signature,"UNVERIFIED_FLATTENED_PDF, не VERIFIED",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-018,QUALITY,PDF с valid trusted signature и unmodified revision,VERIFIED_SIGNATURE; cert chain/time evidence сохранены,PDF с valid trusted signature и unmodified revision,VERIFIED_SIGNATURE; cert chain/time evidence сохранены,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-019,QUALITY,PDF signature invalid после modification,PDF signature invalid после modification,PDF signature invalid после modification,"SIGNATURE_INVALID, auto-confirm blocked",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,CH-020,QUALITY,Scan FCB отчёта,Scan FCB отчёта,Scan FCB отчёта,"OCR possible, authenticity UNVERIFIED_SCAN, manual review required",,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,"§18.2 Шаблон, страницы, подлинность"
M03,Модель данных,ERROR,"current_dpd, delinquency_as_of, max_dpd_lifetime_reported и monthly observations — разные поля/типы.","current_dpd, delinquency_as_of, max_dpd_lifetime_reported и monthly observations — разные поля/типы.","current_dpd, delinquency_as_of, max_dpd_lifetime_reported и monthly observations — разные поля/типы.",Schema/unit tests.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§9 Просрочки — UI и контроль ошибки
M03,Алгоритм,ERROR,Current metrics читают только current node.current_dpd; historical aggregator не используется.,Current metrics читают только current node.current_dpd; historical aggregator не используется.,Current metrics читают только current node.current_dpd; historical aggregator не используется.,"CH-036, CH-053, CH-056, CH-061.",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§9 Просрочки — UI и контроль ошибки
