contract_id,module_id,object_name,field_name,field_path,contract_version,type,unit,required,nullable,allowed_states,source_owner,meaning,must_not_mean,validation,versioning,provenance_required,evidence_required,source_documents,source_sections,source_extract_ids,notes
DC-M01-CAN-0023,M01,participant,assignment/access,participant.assignment_access,,,,TRUE,,,M01,tenant+case scoped | Пользователь/роль/назначение/action permission; deny-by-default и audit отказа.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00063,Объект: assignment/access; Scope / изменяемость: tenant+case scoped; Обязательный контракт: Пользователь/роль/назначение/action permission; deny-by-default и audit отказа.
DC-M01-CAN-0024,M01,participant,audit_event,participant.audit_event,,"actor, action, object reference, time, reason и before/after/version refs без лишней PII.",,TRUE,,,M01,"append-only | actor, action, object reference, time, reason и before/after/version refs без лишней PII.",,,"append-only | actor, action, object reference, time, reason и before/after/version refs без лишней PII.",,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00064,"Объект: audit_event; Scope / изменяемость: append-only; Обязательный контракт: actor, action, object reference, time, reason и before/after/version refs без лишней PII."
DC-M01-CAN-0025,M01,participant,case_id,participant.case_id,,,,TRUE,,,M01,Да | Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00083,Поле / объект: participant_id + case_id + tenant_id; Обязательно: Да; Implementation rule: Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.
DC-M01-CAN-0026,M01,participant,consent,participant.consent,,,,TRUE,,,M01,"participant+identity+purpose-bound; versioned | consent_id, exact participant/identity/text/purpose/evidence/status; отдельный lifecycle.",,,"participant+identity+purpose-bound; versioned | consent_id, exact participant/identity/text/purpose/evidence/status; отдельный lifecycle.",TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00062,"Объект: consent; Scope / изменяемость: participant+identity+purpose-bound; versioned; Обязательный контракт: consent_id, exact participant/identity/text/purpose/evidence/status; отдельный lifecycle."
DC-M01-CAN-0027,M01,participant,mortgage_case,participant.mortgage_case,,,,TRUE,,,M01,"tenant-owned; versioned status | unique case_id, tenant_id, created_by/at, assignment/status references; не контейнер для чужих участников.","tenant-owned; versioned status | unique case_id, tenant_id, created_by/at, assignment/status references; не контейнер для чужих участников.",,"tenant-owned; versioned status | unique case_id, tenant_id, created_by/at, assignment/status references; не контейнер для чужих участников.",,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00058,"Объект: mortgage_case; Scope / изменяемость: tenant-owned; versioned status; Обязательный контракт: unique case_id, tenant_id, created_by/at, assignment/status references; не контейнер для чужих участников."
DC-M01-CAN-0028,M01,participant,participant_id,participant.participant_id,,,,TRUE,,,M01,Да | Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00083,Поле / объект: participant_id + case_id + tenant_id; Обязательно: Да; Implementation rule: Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.
DC-M01-CAN-0029,M01,participant,participant role relation,participant.participant_role_relation,,,,,,,M01,История неизменна | Новая revision с actor/reason/effective time. | Published snapshots сохраняют прежнюю роль.,,,История неизменна | Новая revision с actor/reason/effective time. | Published snapshots сохраняют прежнюю роль.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability,SRC-DOC-M01-I-00187,Объект: participant role relation; Immutable: История неизменна; Versioned change: Новая revision с actor/reason/effective time.; Historical rule: Published snapshots сохраняют прежнюю роль.
DC-M01-CAN-0030,M01,participant,PRIMARY_BORROWER,participant.primary_borrower,,,,,,,M01,Основной заёмщик; отдельный participant. | Да для своего профиля после gates. | Собственный identity и consent lifecycle.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§6 Роли участников,SRC-DOC-M01-I-00069,Роль / связь: PRIMARY_BORROWER; Смысл: Основной заёмщик; отдельный participant.; included_in_analysis: Да для своего профиля после gates.; Consent / данные: Собственный identity и consent lifecycle.
DC-M01-CAN-0031,M01,participant,tenant,participant.tenant,,,,TRUE,,,M01,Контур владения | Каждый case/participant/consent/evidence/audit имеет tenant ownership; cross-tenant access запрещён.,Контур владения | Каждый case/participant/consent/evidence/audit имеет tenant ownership; cross-tenant access запрещён.,,,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00057,Объект: tenant; Scope / изменяемость: Контур владения; Обязательный контракт: Каждый case/participant/consent/evidence/audit имеет tenant ownership; cross-tenant access запрещён.
DC-M01-CAN-0032,M01,participant,tenant_id,participant.tenant_id,,,,TRUE,,,M01,Да | Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00083,Поле / объект: participant_id + case_id + tenant_id; Обязательно: Да; Implementation rule: Согласие принадлежит одному субъекту в одном контуре; AT-CC-003/006.
DC-M02-CAN-0001,M02,client_check_batch,completed,client_check_batch.completed,,,,,,COMPLETED,M02,"Только terminal, fresh, evidence-valid per-source result с допустимым outcome.",,"Только terminal, fresh, evidence-valid per-source result с допустимым outcome.",,TRUE,TRUE,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00104,"Объект/поле: completed; Правило: Только terminal, fresh, evidence-valid per-source result с допустимым outcome."
DC-M02-CAN-0002,M02,client_check_batch,found,client_check_batch.found,,,,,,COMPLETED,M02,completed + found; факт не меняет банковский verdict.,completed + found; факт не меняет банковский verdict.,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00106,Объект/поле: found; Правило: completed + found; факт не меняет банковский verdict.
DC-M02-CAN-0003,M02,client_check_batch,manual/unavailable/blocked/stale,client_check_batch.manual_unavailable_blocked_stale,,,,,,BLOCKED|STALE,M02,Отдельные счётчики; каждый исключает COMPLETE_NO_RECORDS.,,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00107,Объект/поле: manual/unavailable/blocked/stale; Правило: Отдельные счётчики; каждый исключает COMPLETE_NO_RECORDS.
DC-M02-CAN-0004,M02,client_check_batch,overall_status,client_check_batch.overall_status,,,,,,,M02,Детерминированно выводится из results; пользователь не выбирает общий исход вручную.,Детерминированно выводится из results; пользователь не выбирает общий исход вручную.,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00108,Объект/поле: overall_status; Правило: Детерминированно выводится из results; пользователь не выбирает общий исход вручную.
DC-M02-CAN-0005,M02,client_check_batch,proven_negative,client_check_batch.proven_negative,,,,,TRUE,COMPLETED|ZERO,M02,completed + source-specific documented not_found/zero; не empty/null/error.,completed + source-specific documented not_found/zero; не empty/null/error.,,,TRUE,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00105,Объект/поле: proven_negative; Правило: completed + source-specific documented not_found/zero; не empty/null/error.
DC-M02-CAN-0006,M02,consent,error.category,consent.error.category,,,,,,,M02,validation | consent | access | auth | captcha | rate_limit | upstream | schema | evidence | internal,,validation | consent | access | auth | captcha | rate_limit | upstream | schema | evidence | internal,,TRUE,TRUE,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.3 Enum и инварианты,SRC-DOC-M02-P-00367,Поле: error.category; Допустимые значения: validation | consent | access | auth | captcha | rate_limit | upstream | schema | evidence | internal
DC-M02-CAN-0007,M02,consent,required_total,consent.required_total,,,,TRUE,,,M02,Количество активных required check_type в frozen manifest batch; conditional входит только после доказанного условия и consent scope.,,,,,TRUE,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§9 Batch и coverage,SRC-DOC-M02-I-00103,Объект/поле: required_total; Правило: Количество активных required check_type в frozen manifest batch; conditional входит только после доказанного условия и consent scope.
DC-M02-CAN-0008,M02,consent,status,consent.status,,,,TRUE,,COMPLETED|STALE,M02,queued | running | completed | manual_required | consent_required | source_unavailable | stale | legal_unconfirmed | access_required | not_allowed | error,,,,TRUE,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.3 Enum и инварианты,SRC-DOC-M02-P-00363,Поле: status; Допустимые значения: queued | running | completed | manual_required | consent_required | source_unavailable | stale | legal_unconfirmed | access_required | not_allowed | error
DC-M02-CAN-0009,M02,manual_check_task,assignee/created_at/due/expiry,manual_check_task.assignee_created_at_due_expiry,,,,,,,M02,Исполнитель и временные границы; истёкшая задача не остаётся fresh.,Исполнитель и временные границы; истёкшая задача не остаётся fresh.,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00142,Поле manual_check_task: assignee/created_at/due/expiry; Точное требование: Исполнитель и временные границы; истёкшая задача не остаётся fresh.
DC-M02-CAN-0010,M02,manual_check_task,checked_at/source_data_as_of/fresh_until,manual_check_task.checked_at_source_data_as_of_fresh_until,,,,,TRUE,UNKNOWN,M02,Три разные временные характеристики либо явный UNKNOWN.,,,,TRUE,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00145,Поле manual_check_task: checked_at/source_data_as_of/fresh_until; Точное требование: Три разные временные характеристики либо явный UNKNOWN.
DC-M02-CAN-0011,M02,manual_check_task,comment/actor/audit,manual_check_task.comment_actor_audit,,"Подтверждающий actor, timestamp, before/after/reason/version.",,,,,M02,"Подтверждающий actor, timestamp, before/after/reason/version.",,,"Подтверждающий actor, timestamp, before/after/reason/version.",,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00146,"Поле manual_check_task: comment/actor/audit; Точное требование: Подтверждающий actor, timestamp, before/after/reason/version."
DC-M02-CAN-0012,M02,manual_check_task,evidence/reference,manual_check_task.evidence_reference,,,,,,,M02,Разрешённый screenshot/document/reference/hash; без избыточных данных третьих лиц.,,,,TRUE,TRUE,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00144,Поле manual_check_task: evidence/reference; Точное требование: Разрешённый screenshot/document/reference/hash; без избыточных данных третьих лиц.
DC-M02-CAN-0013,M02,manual_check_task,instruction,manual_check_task.instruction,,,,,,,M02,"Кратко: что открыть, что ввести самому, какой исход и evidence зафиксировать.",,,,TRUE,TRUE,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00141,"Поле manual_check_task: instruction; Точное требование: Кратко: что открыть, что ввести самому, какой исход и evidence зафиксировать."
DC-M02-CAN-0014,M02,manual_check_task,official_url,manual_check_task.official_url,,,,,,,M02,Только базовый официальный URL; без ИИН в query/path/referrer.,,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00140,Поле manual_check_task: official_url; Точное требование: Только базовый официальный URL; без ИИН в query/path/referrer.
DC-M02-CAN-0015,M02,manual_check_task,source/check_type,manual_check_task.source_check_type,,,,,,,M02,Ссылка на frozen registry/manifest и конкретный ожидаемый факт.,,,,TRUE,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00139,Поле manual_check_task: source/check_type; Точное требование: Ссылка на frozen registry/manifest и конкретный ожидаемый факт.
DC-M02-CAN-0016,M02,manual_check_task,status/outcome,manual_check_task.status_outcome,,,,,,,M02,Task state отдельно от observed result; not_found доступен только по допустимому manual contract.,,,,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§11 Manual checks,SRC-DOC-M02-I-00143,Поле manual_check_task: status/outcome; Точное требование: Task state отдельно от observed result; not_found доступен только по допустимому manual contract.
DC-M03-CAN-0001,M03,consent,Consent,consent.consent,,,,,,,M03,"CH-001–010 | CH-001, CH-005–010",,,"CH-001–010 | CH-001, CH-005–010",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Regression tests,SRC-DOC-M03-I-00356,"Блок: Consent / intake / security / versions; Production Test IDs: CH-001–010; Acceptance Test IDs: CH-001, CH-005–010"
DC-M03-CAN-0002,M03,consent,intake,consent.intake,,,,,,,M03,"CH-001–010 | CH-001, CH-005–010",,,"CH-001–010 | CH-001, CH-005–010",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Regression tests,SRC-DOC-M03-I-00356,"Блок: Consent / intake / security / versions; Production Test IDs: CH-001–010; Acceptance Test IDs: CH-001, CH-005–010"
DC-M03-CAN-0003,M03,consent,security,consent.security,,,,,,,M03,"CH-001–010 | CH-001, CH-005–010",,,"CH-001–010 | CH-001, CH-005–010",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Regression tests,SRC-DOC-M03-I-00356,"Блок: Consent / intake / security / versions; Production Test IDs: CH-001–010; Acceptance Test IDs: CH-001, CH-005–010"
DC-M03-CAN-0004,M03,consent,versions,consent.versions,,,,,,,M03,"CH-001–010 | CH-001, CH-005–010",,,"CH-001–010 | CH-001, CH-005–010",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Regression tests,SRC-DOC-M03-I-00356,"Блок: Consent / intake / security / versions; Production Test IDs: CH-001–010; Acceptance Test IDs: CH-001, CH-005–010"
DC-M03-CAN-0005,M03,consent,Вход,consent.вход,,,,,,,M03,Ручно загруженный PDF ПКО при consent; без личных кабинетов/ЭЦП/паролей,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§21.1 Manifest v1,SRC-DOC-M03-P-00776,Параметр: Вход; Финальное решение: Ручно загруженный PDF ПКО при consent; без личных кабинетов/ЭЦП/паролей
DC-M03-CAN-0006,M03,credit_history_snapshot,Выход,credit_history_snapshot.выход,,,,,,,M03,"Immutable credit_history_snapshot с current/historical profiles, quality и evidence",,,"Immutable credit_history_snapshot с current/historical profiles, quality и evidence",TRUE,TRUE,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§21.1 Manifest v1,SRC-DOC-M03-P-00784,"Параметр: Выход; Финальное решение: Immutable credit_history_snapshot с current/historical profiles, quality и evidence"
DC-M03-CAN-0007,M03,credit_obligation,credit_obligation_lineage,credit_obligation.credit_obligation_lineage,,,,,,,M03,"Каноническая экономическая линия долга | Текущий долг считается здесь, не по source rows","Каноническая экономическая линия долга | Текущий долг считается здесь, не по source rows",,,TRUE,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§8.1 Сущности,SRC-DOC-M03-P-00307,"Сущность: credit_obligation_lineage; Назначение: Каноническая экономическая линия долга; Ключевой инвариант: Текущий долг считается здесь, не по source rows"
DC-M03-CAN-0008,M03,credit_obligation,credit_obligation_record_link,credit_obligation.credit_obligation_record_link,,,,,,,M03,"Решение merge/split с основанием | Обратимо, версионно, аудируемо",,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§8.1 Сущности,SRC-DOC-M03-P-00308,"Сущность: credit_obligation_record_link; Назначение: Решение merge/split с основанием; Ключевой инвариант: Обратимо, версионно, аудируемо"
