requirement_id,source_section,old_release,old_applicability,new_release,new_applicability,reason,status
CORE-CAN-0065,§15 Пользовательские результаты программы,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,MASTER §20 release mapping applied to full source section '§15 Пользовательские результаты программы'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0069,§17 Повторное использование,1.3,FUTURE_1_3_BOUNDARY,1.5,FUTURE_1_5_BOUNDARY,MASTER §20 release mapping applied to full source section '§17 Повторное использование'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0070,§17 Повторное использование,1.0,CURRENT_1_0,1.5,FUTURE_1_5_BOUNDARY,MASTER §20 release mapping applied to full source section '§17 Повторное использование'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0074,§18 Требования к пользовательскому интерфейсу,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,UI representation of the three program results belongs to MASTER §20 release 1.1.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0080,§21 Что разработчик должен делать сейчас,1.1,FUTURE_1_1_BOUNDARY,1.0,CURRENT_1_0,Version-transition governance applies now: future versions start only after current release gates PASS.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0087,§23 Реестр конфликтов и принятых решений,1.0,CURRENT_1_0,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0088,§23 Реестр конфликтов и принятых решений,1.2,FUTURE_1_2_BOUNDARY,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0089,§23 Реестр конфликтов и принятых решений,1.0,CURRENT_1_0,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0090,§23 Реестр конфликтов и принятых решений,1.5,FUTURE_1_5_BOUNDARY,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0091,§23 Реестр конфликтов и принятых решений,1.0,CURRENT_1_0,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0092,§23 Реестр конфликтов и принятых решений,1.0,CURRENT_1_0,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0093,§23 Реестр конфликтов и принятых решений,1.1,FUTURE_1_1_BOUNDARY,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0094,§23 Реестр конфликтов и принятых решений,1.0,CURRENT_1_0,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0103,§3 Что такое CASA Pro сейчас,1.2,FUTURE_1_2_BOUNDARY,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0105,§4 Что входит в текущую стадию,1.3,FUTURE_1_3_BOUNDARY,1.0,CURRENT_1_0,Current governance boundary: future 1.x functionality must not be mixed into the 1.0 sprint.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0113,§5 Что НЕ входит в текущую стадию,1.1,FUTURE_1_1_BOUNDARY,1.0,CURRENT_1_0,Current release prohibition: bank integrations are not built now.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0124,§6 Сквозной путь одного ипотечного клиента,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,Applying program rules is Bank Rules functionality assigned to 1.1 by MASTER §20.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0125,§6 Сквозной путь одного ипотечного клиента,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,The three program outcomes are assigned to 1.1 by MASTER §20.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0129,§6 Сквозной путь одного ипотечного клиента,1.1,FUTURE_1_1_BOUNDARY,1.5,FUTURE_1_5_BOUNDARY,Return/recheck of an existing client is assigned to 1.5 by MASTER §20.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0130,§6 Сквозной путь одного ипотечного клиента,1.1,FUTURE_1_1_BOUNDARY,,,Non-actionable product description or conflict-history row; exact text remains in 01_REQUIREMENT_CANDIDATES.csv and 10_SOURCE_EXTRACTS.csv.,REMOVED_NON_ACTIONABLE
CORE-CAN-0150,Последующие стадии — НЕ ТЕКУЩАЯ РАЗРАБОТКА,1.3,FUTURE_1_3_BOUNDARY,1.0,CURRENT_1_0,"The release-order and gate rule is a current governance boundary, not a future feature.",RELEASE_MAPPING_CORRECTED
