gate_id,module_id,question,owner,blocks_engineering,blocks_production,blocks_release,temporary_safe_behavior,source_documents,source_sections,related_gate_ids,status,notes
J-03,M02,"Коммерческое точечное использование AIS OIP/KGD, terms/attribution/limits.",Legal/Source owner,R1/R2,R0,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§25 Open questions,,OPEN,"ID: J-03; Вопрос: Коммерческое точечное использование AIS OIP/KGD, terms/attribution/limits.; Owner: Legal/Source owner; Что блокирует: R1/R2; Что не блокирует: R0"
J-05,M02,Письменные API/token/SLA/rate/purpose подтверждения.,Legal/Integration owner,R1/R2,R0,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§25 Open questions,,OPEN,ID: J-05; Вопрос: Письменные API/token/SLA/rate/purpose подтверждения.; Owner: Legal/Integration owner; Что блокирует: R1/R2; Что не блокирует: R0
J-06,M02,Допустимость full-list bankruptcy API; точечный endpoint.,Legal/KGD owner,Любая automation; bulk запрещён,R0 manual path,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§25 Open questions,,OPEN,ID: J-06; Вопрос: Допустимость full-list bankruptcy API; точечный endpoint.; Owner: Legal/KGD owner; Что блокирует: Любая automation; bulk запрещён; Что не блокирует: R0 manual path
J-10,M02,Adverse signals/explainability/dispute/sole automation.,Legal/Product,Downstream derived layer,M02 fact-only R0,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§25 Open questions,,OPEN,ID: J-10; Вопрос: Adverse signals/explainability/dispute/sole automation.; Owner: Legal/Product; Что блокирует: Downstream derived layer; Что не блокирует: M02 fact-only R0
J-12,M02,"Incident notification, reviews, breach response.",Security/Legal,Production launch,Audit hooks and test plan,,,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§25 Open questions,,OPEN,"ID: J-12; Вопрос: Incident notification, reviews, breach response.; Owner: Security/Legal; Что блокирует: Production launch; Что не блокирует: Audit hooks and test plan"
M03-OQ-01,M03,"Точный текст/форма consent на upload, extraction, internal use, future rules transfer",LEGAL_REVIEW_REQUIRED,Юрист РК + DPO; approved consent version,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Открытые вопросы и release gates|§23 Открытые вопросы,OQ-01|,OPEN,"ID: OQ-01; Вопрос: Точный текст/форма consent на upload, extraction, internal use, future rules transfer; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Юрист РК + DPO; approved consent version"
M03-OQ-02,M03,CASA — собственник/оператор и какие роли у tenant/бюро/OCR vendor,LEGAL_REVIEW_REQUIRED,Data processing map/contracts,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-02,OPEN,ID: OQ-02; Вопрос: CASA — собственник/оператор и какие роли у tenant/бюро/OCR vendor; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Data processing map/contracts
M03-OQ-03,M03,"Retention PDF, crops, fields, snapshots, audit по стадиям дела",LEGAL_REVIEW_REQUIRED,Approved retention matrix,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-03,OPEN,"ID: OQ-03; Вопрос: Retention PDF, crops, fields, snapshots, audit по стадиям дела; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Approved retention matrix"
M03-OQ-04,M03,Можно ли CASA автоматизировать FCB authenticity check; есть ли договор/API,UNKNOWN / CONTRACT_REQUIRED,Письменный ответ ПКБ; до того manual only,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Открытые вопросы и release gates|§23 Открытые вопросы,OQ-04|,OPEN,ID: OQ-04; Вопрос: Можно ли CASA автоматизировать FCB authenticity check; есть ли договор/API; Статус: UNKNOWN / CONTRACT_REQUIRED; Кто закрывает/артефакт: Письменный ответ ПКБ; до того manual only
M03-OQ-06,M03,GCB full personal PDF layout(s),SAMPLE_REQUIRED,≥20 обезличенных samples + gold set,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-06,OPEN,ID: OQ-06; Вопрос: GCB full personal PDF layout(s); Статус: SAMPLE_REQUIRED; Кто закрывает/артефакт: ≥20 обезличенных samples + gold set
M03-OQ-07,M03,FCB personal/non-full PDF layout(s),SAMPLE_REQUIRED,≥20 samples + gold set,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-07,OPEN,ID: OQ-07; Вопрос: FCB personal/non-full PDF layout(s); Статус: SAMPLE_REQUIRED; Кто закрывает/артефакт: ≥20 samples + gold set
M03-OQ-08,M03,eGov PDFs: какие underlying bureau/layout/signatures,SAMPLE_REQUIRED,Samples по каждому issuer/channel,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-08,OPEN,ID: OQ-08; Вопрос: eGov PDFs: какие underlying bureau/layout/signatures; Статус: SAMPLE_REQUIRED; Кто закрывает/артефакт: Samples по каждому issuer/channel
M03-OQ-09,M03,Официальный template change notification/version feed,UNKNOWN,Договор/письмо бюро; до того drift detector,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-09,OPEN,ID: OQ-09; Вопрос: Официальный template change notification/version feed; Статус: UNKNOWN; Кто закрывает/артефакт: Договор/письмо бюро; до того drift detector
M03-OQ-10,M03,"Часовой пояс report timestamp, если PDF его не печатает",UNKNOWN,Письмо issuer; пока ASSUMED,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21|M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§19 Открытые вопросы и release gates|§23 Открытые вопросы,OQ-10|,OPEN,"ID: OQ-10; Вопрос: Часовой пояс report timestamp, если PDF его не печатает; Статус: UNKNOWN; Кто закрывает/артефакт: Письмо issuer; пока ASSUMED"
M03-OQ-11,M03,Все product/source/role enum mappings в фактических шаблонах,SAMPLE_REQUIRED,Dictionary corpus + versioned mapping,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-11,OPEN,ID: OQ-11; Вопрос: Все product/source/role enum mappings в фактических шаблонах; Статус: SAMPLE_REQUIRED; Кто закрывает/артефакт: Dictionary corpus + versioned mapping
M03-OQ-12,M03,Как бюро обозначает facility vs drawdown в каждом формате,SAMPLE_REQUIRED,Official docs + samples; иначе manual,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-12,OPEN,ID: OQ-12; Вопрос: Как бюро обозначает facility vs drawdown в каждом формате; Статус: SAMPLE_REQUIRED; Кто закрывает/артефакт: Official docs + samples; иначе manual
M03-OQ-13,M03,Объём/семантика partial report,UNKNOWN,Issuer sample/docs; не называть полным,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-13,OPEN,ID: OQ-13; Вопрос: Объём/семантика partial report; Статус: UNKNOWN; Кто закрывает/артефакт: Issuer sample/docs; не называть полным
M03-OQ-14,M03,Process freshness TTL для CASA before Bank Rules,"Product decision, не legal/bank fact",Versioned policy с exact rationale,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-14,OPEN,"ID: OQ-14; Вопрос: Process freshness TTL для CASA before Bank Rules; Статус: Product decision, не legal/bank fact; Кто закрывает/артефакт: Versioned policy с exact rationale"
M03-OQ-15,M03,Как отображать disputed information и повторный ПКО,Product/legal review,Dispute state model + UX copy,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-15,OPEN,ID: OQ-15; Вопрос: Как отображать disputed information и повторный ПКО; Статус: Product/legal review; Кто закрывает/артефакт: Dispute state model + UX copy
M03-OQ-16,M03,Какие embedded state facts правомерно показывать риелтору,LEGAL_REVIEW_REQUIRED,Data minimization matrix; в v1 collapsed/masked,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-16,OPEN,ID: OQ-16; Вопрос: Какие embedded state facts правомерно показывать риелтору; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Data minimization matrix; в v1 collapsed/masked
M03-OQ-17,M03,Можно ли хранить evidence crop отдельно от PDF,LEGAL_REVIEW_REQUIRED,Retention/security decision,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-17,OPEN,ID: OQ-17; Вопрос: Можно ли хранить evidence crop отдельно от PDF; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Retention/security decision
M03-OQ-18,M03,OCR/AI subprocessor и локация обработки,LEGAL_REVIEW_REQUIRED,Vendor DPA/security architecture; no training on customer data,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-18,OPEN,ID: OQ-18; Вопрос: OCR/AI subprocessor и локация обработки; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Vendor DPA/security architecture; no training on customer data
M03-OQ-19,M03,Правила использования логотипов/названий бюро в UI,LEGAL_REVIEW_REQUIRED,Brand/trademark approval if required,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-19,OPEN,ID: OQ-19; Вопрос: Правила использования логотипов/названий бюро в UI; Статус: LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Brand/trademark approval if required
M03-OQ-20,M03,Возможен ли direct bureau API в future,CONTRACT_REQUIRED + LEGAL_REVIEW_REQUIRED,Отдельный integration project; не часть v1,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§19 Открытые вопросы и release gates,OQ-20,OPEN,ID: OQ-20; Вопрос: Возможен ли direct bureau API в future; Статус: CONTRACT_REQUIRED + LEGAL_REVIEW_REQUIRED; Кто закрывает/артефакт: Отдельный integration project; не часть v1
M04-RG-01,M04,Coverage semantics,Official owner/template documentation or approved sample matrix proves what report period covers and when NO_CONTRIBUTION is valid.,OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-01,OPEN,Gate: RG-01; Тема: Coverage semantics; Acceptance evidence: Official owner/template documentation or approved sample matrix proves what report period covers and when NO_CONTRIBUTION is valid.; Статус: OPEN
M04-RG-02,M04,Authenticity,"Official barcode/QR/PDF-signature verification spec + trust roots/API contract, or approved manual verification SOP.",OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-02,OPEN,"Gate: RG-02; Тема: Authenticity; Acceptance evidence: Official barcode/QR/PDF-signature verification spec + trust roots/API contract, or approved manual verification SOP.; Статус: OPEN"
M04-RG-04,M04,Base formula registry,Rates/categories/regimes/effective dates/caps/floors approved; OPV auto-estimate remains disabled until context evidence exists.,OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-04,OPEN,Gate: RG-04; Тема: Base formula registry; Acceptance evidence: Rates/categories/regimes/effective dates/caps/floors approved; OPV auto-estimate remains disabled until context evidence exists.; Статус: OPEN
M04-RG-05,M04,Status/return samples,Official samples for returned/reversed/rejected/correction rows; mappings tested; until then UNKNOWN.,OPEN · SAMPLE_REQUIRED,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-05,OPEN,Gate: RG-05; Тема: Status/return samples; Acceptance evidence: Official samples for returned/reversed/rejected/correction rows; mappings tested; until then UNKNOWN.; Статус: OPEN · SAMPLE_REQUIRED
M04-RG-06,M04,Template pack,Approved versions for exact Government Corporation PDF; separate samples for eGov certificate and ENPF IPS before support claim.,OPEN · SAMPLE_REQUIRED,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-06,OPEN,Gate: RG-06; Тема: Template pack; Acceptance evidence: Approved versions for exact Government Corporation PDF; separate samples for eGov certificate and ENPF IPS before support claim.; Статус: OPEN · SAMPLE_REQUIRED
M04-RG-07,M04,Freshness policy,Product/legal approves process TTL (proposed default 30 days) and UI copy; snapshot always carries age_days.,OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-07,OPEN,Gate: RG-07; Тема: Freshness policy; Acceptance evidence: Product/legal approves process TTL (proposed default 30 days) and UI copy; snapshot always carries age_days.; Статус: OPEN
M04-RG-08,M04,Gold dataset,All 40 tests pass; all supported templates/languages/scans covered; inherited ≥98% critical-field KPI met; no silent subject/page/total errors.,OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15 Release gates и открытые вопросы|§25 Открытые вопросы,RG-08|,OPEN,Gate: RG-08; Тема: Gold dataset; Acceptance evidence: All 40 tests pass; all supported templates/languages/scans covered; inherited ≥98% critical-field KPI met; no silent subject/page/total errors.; Статус: OPEN
M04-RG-09,M04,Source footer issue,Issuer/eGov confirms treatment or publishes corrected 2026 template referencing current Digital Code; CASA warning policy approved.,OPEN,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§15 Release gates и открытые вопросы,RG-09,OPEN,Gate: RG-09; Тема: Source footer issue; Acceptance evidence: Issuer/eGov confirms treatment or publishes corrected 2026 template referencing current Digital Code; CASA warning policy approved.; Статус: OPEN
M04-OQ-01,M04,"Официально ли период в шапке фильтрует received_date, transaction date или иной атрибут?",UNKNOWN / RG-01,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-01|OQ-01|M04-OQ-08|M04-RG-09,OPEN,"ID: OQ-01; Вопрос: Официально ли период в шапке фильтрует received_date, transaction date или иной атрибут?; До ответа: UNKNOWN / RG-01"
M04-OQ-02,M04,Какой официальный технический формат payload штрих-кода и как проверять ЭЦП?,CONTRACT_REQUIRED / RG-02,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-02|OQ-02,OPEN,ID: OQ-02; Вопрос: Какой официальный технический формат payload штрих-кода и как проверять ЭЦП?; До ответа: CONTRACT_REQUIRED / RG-02
M04-OQ-03,M04,Можно ли CASA автоматизировать официальный check service и на каком основании?,LEGAL_REVIEW_REQUIRED / CONTRACT_REQUIRED,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,OQ-03|M04-RG-03,OPEN,ID: OQ-03; Вопрос: Можно ли CASA автоматизировать официальный check service и на каком основании?; До ответа: LEGAL_REVIEW_REQUIRED / CONTRACT_REQUIRED
M04-OQ-04,M04,Какие raw status strings используются для возврата/сторно/отклонения?,SAMPLE_REQUIRED / RG-05,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-05|OQ-04,OPEN,ID: OQ-04; Вопрос: Какие raw status strings используются для возврата/сторно/отклонения?; До ответа: SAMPLE_REQUIRED / RG-05
M04-OQ-05,M04,Какие exact layouts имеют отдельная eGov-справка и ENPF IPS/UPS statements?,SAMPLE_REQUIRED / RG-06,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-06|OQ-05,OPEN,ID: OQ-05; Вопрос: Какие exact layouts имеют отдельная eGov-справка и ENPF IPS/UPS statements?; До ответа: SAMPLE_REQUIRED / RG-06
M04-OQ-06,M04,Какой process TTL считать STALE независимо от bank rule?,PRODUCT+LEGAL / RG-07,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-07|OQ-06,OPEN,ID: OQ-06; Вопрос: Какой process TTL считать STALE независимо от bank rule?; До ответа: PRODUCT+LEGAL / RG-07
M04-OQ-07,M04,Каким evidence подтверждать payer_category/payment_regime для base estimate?,PRODUCT+LEGAL / RG-04,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-04|OQ-07,OPEN,ID: OQ-07; Вопрос: Каким evidence подтверждать payer_category/payment_regime для base estimate?; До ответа: PRODUCT+LEGAL / RG-04
M04-OQ-08,M04,Должен ли outdated legal footer давать blocking review или persistent warning?,ISSUER+LEGAL / RG-09,,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21|M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§15.1 Открытые вопросы|§25 Открытые вопросы,M04-RG-09|OQ-08,OPEN,ID: OQ-08; Вопрос: Должен ли outdated legal footer давать blocking review или persistent warning?; До ответа: ISSUER+LEGAL / RG-09
RG-CP-01,M05,Какой точный versioned набор required/conditional questions и publish rules для 1.0?,Product,Нет: engine/registry/disabled publish,Да: production questionnaire/publish,,Only sourced fields; UNKNOWN visible; publish disabled until approved registry.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1|04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,§31 Engineering vs Production gates|§18 Release gates|§26 Release gates RG-CP-01…07|§33 Open questions,,OPEN,Canonical RG-CP-01 semantics from Production §18 and Implementation §26/§33; original source IDs preserved in 10_SOURCE_EXTRACTS.csv: SRC-DOC-M05-P-00283|SRC-DOC-M05-I-00361|SRC-DOC-M05-I-00473.
RG-CP-03,M05,Какое evidence/reviewer правило даёт VERIFIED для income/asset/down payment?,Product/Legal/Data,Нет: validator interface/states,Да: production VERIFIED,,DECLARED/EVIDENCE_REQUESTED; no bank acceptance.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§33 Open questions,,OPEN,ID/source: RG-CP-03; Question: Какое evidence/reviewer правило даёт VERIFIED для income/asset/down payment?; Owner: Product/Legal/Data; Blocks engineering?: Нет: validator interface/states; Blocks production?: Да: production VERIFIED; Temporary safe behaviour: DECLARED/EVIDENCE_REQUESTED; no bank acceptance.
RG-CP-04,M05,Каков final enum registry и effective-dated migration policy?,Product/Data/Engineering,Нет: registry mechanism,Да: stable API/schema,,Reject/quarantine unknown; no self-added enums.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§33 Open questions,,OPEN,ID/source: RG-CP-04; Question: Каков final enum registry и effective-dated migration policy?; Owner: Product/Data/Engineering; Blocks engineering?: Нет: registry mechanism; Blocks production?: Да: stable API/schema; Temporary safe behaviour: Reject/quarantine unknown; no self-added enums.
RG-CP-05,M05,Каковы TTL/freshness/rebuild triggers для manual evidence и upstream?,Product/Data/Legal,Нет: timestamps/STale hooks,Да: production STALE/current semantics,,Show as_of; no hard-coded TTL; explicit update CTA.,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§33 Open questions,,OPEN,ID/source: RG-CP-05; Question: Каковы TTL/freshness/rebuild triggers для manual evidence и upstream?; Owner: Product/Data/Legal; Blocks engineering?: Нет: timestamps/STale hooks; Blocks production?: Да: production STALE/current semantics; Temporary safe behaviour: Show as_of; no hard-coded TTL; explicit update CTA.
