task_id,module_id,order_no,task,backend,frontend,data,parser,qa,security,product_or_legal_dependency,priority,source_document,source_section,acceptance_test,release_gate,definition_of_done,status,developer_comment
M01-TASK-016,M01,16,Запретить credentials,Reject/filter fields; no persistence/logging,Safe human explanation,Schema denylist,,Static/API/log tests,,Нет,IIN §3.1; CH §1.2; Pension §1.2,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,No password/OTP/ЭЦП/cookie surface,,,TODO,
M01-TASK-017,M01,17,Реализовать tenant/case/participant access guard,RLS/object guard; assignment/action permission,Safe access denied,Ownership/indexes,,Cross-tenant/unassigned/JIT,,Existing RBAC mapping,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-006,,Deny/404 without existence leak; audit,TODO,
M01-TASK-018,M01,18,Создать append-only audit events,Event append/query; no update/delete API,Redacted history details,actor/action/object/time/reason/version refs,,Mutation/PII tests,,Retention/audit policy,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-009/011/012,,Critical lifecycle/actions reproducible,TODO,
M01-TASK-019,M01,19,Реализовать PII masking/redaction,Vault/reference; log/export allowlists,Masked identity/phone per policy,PII classification,,IIN T-032/T-044; CH-083,,Masking/retention policy,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-011,,No full IIN/raw text/secrets in prohibited surfaces,TODO,
M01-TASK-020,M01,20,Собрать Client & Consent card,Aggregate M01 read model,Client/role/masked ID/case/consent/CTA,Read model refs only,,Desktop/mobile/a11y,,Approved human copy,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002/008/011/014,,No finance ownership or enum-first UI,TODO,
M01-TASK-021,M01,21,Собрать participants panel,List separate consent/identity states,Role + included + consent for each,No merged row,,Spouse/co-borrower cases,,Role registry,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-003/014,,Each participant independently actionable,TODO,
M01-TASK-022,M01,22,Исправить demo SMS semantics,Demo action produces no external send; production flag off,Replace misleading SMS claim; keep warning,Demo/prod config split,,Network spy + screenshot regression,,OD-001/AT-CC-013,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-010/013,,UI and actual side effect agree,TODO,
M01-TASK-023,M01,23,Убрать production broker confirm/decline,Reject broker-origin participant evidence,Controls demo-only,Actor/channel validation,,Impersonation negative,,Approved method,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-009/013,,Only approved participant channel can confirm,TODO,
M01-TASK-024,M01,24,Разделить M01 и financial summary ownership,M01 contract excludes income/payment/PV/budget,Render finance via M05/global summary only,No finance columns in M01,,Schema/UI ownership test,,Нет,MASTER §13; CP Spec,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,M01 stays Client & Consent foundation,,,TODO,
M01-TASK-025,M01,25,Собрать AT-CC-001…014 regression suite,"Fixtures, hooks, reports",Golden screenshots/human messages,Synthetic no-PII data,,All positive/negative/boundary,,AT-CC-013 remains open until artifact,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-001…014,,No Expected changed; objective result reported,TODO,
M01-TASK-026,M01,26,Собрать end-to-end M01 fixture,Case→participants→identity→grant→preflight→revoke,All UI states,Immutable refs/hash,,Replay and downstream spies,,Synthetic approved test artifact,P1,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-001…012/014,RG1|RG11,Engineering flow passes without real client data,TODO,
M02-TASK-001,M02,1,Зафиксировать R0 feature boundary,All external connectors false; deny-by-default evaluator,Показывать разрешённый путь,Manifest flags,,Network spy=0 production calls,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-003/020,,R0 fully works with no external endpoints; future tests N/A.,TODO,
M02-TASK-002,M02,2,Создать versioned external_source_registry,CRUD/admin read; immutable versions,"Admin details, broker human mode",Owner/URL/mode/legal/access/allowlist/TTL/fallback/no-match,,Registry fixture,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-001/002,,Every Manifest v1 source/check has required metadata.,TODO,
M02-TASK-003,M02,3,Зафиксировать frozen Manifest v1 в batch,manifest_version + active required checks,Показать состав/coverage,7 base check_types; conditionals explicit,,Denominator tests,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-001/007/008,,"Coverage uses frozen active manifest, not live registry drift.",TODO,
M02-TASK-004,M02,4,Реализовать ИИН validation,12 digits + check digit before route,Human validation message,No DOB/gender inference,,T-001/T-002,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-013,,Invalid → 0 calls; attributes not inferred.,TODO,
M02-TASK-005,M02,5,Привязать identity version,borrower_id/identity_version/tenant/case,Masked identity,Old batch immutable,,T-007/T-008,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-013/018,,New IIN version creates new batch; no cross-subject reuse.,TODO,
M02-TASK-006,M02,6,Реализовать consent purpose/manifest gate,Active participant consent; revoke/expiry,Request consent/block text,consent_id/version,,T-003/T-004/T-037,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-004/018,,No route without exact purpose; participant separation.,TODO,
M02-TASK-007,M02,7,Создать client_check_batch,"Immutable batch, actor/time, idempotency",Progress + counts,manifest/consent snapshot,,T-027/T-028,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-014/015,,One key→one batch; refresh is new version.,TODO,
M02-TASK-008,M02,8,Создать per-check client_check_result,One source×check_type; status/outcome split,One source card,Enums/invariants,,T-017–019,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-011/012/016,,0/null/empty/unknown/error remain distinct.,TODO,
M02-TASK-009,M02,9,Создать immutable client_check_fact,Allowlisted facts + source linkage,Neutral fact rows,Source-specific schemas,,T-011/T-012/T-035,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-010/017,,Multiple facts preserved; no third-party IIN.,TODO,
M02-TASK-010,M02,10,Реализовать manual_check_task,Official URL/instruction/assignee/dates/outcome/evidence/audit,Open service + confirm form,No IIN in URL,,T-013/T-014/T-031/T-034,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-005/009/010,,Evidence required; expired task incomplete/stale.,TODO,
M02-TASK-011,M02,11,Запретить CAPTCHA/credentials automation,No headless/solver/password/OTP/EDS/cookies,Manual guidance only,N/A,,Static/security tests,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-009/018,,No prohibited mechanism in code/config/logs.,TODO,
M02-TASK-012,M02,12,Реализовать strict NOT_FOUND mapper,Source-specific contract only,Human not-found per source,AIS SCSE001 sample only; HTTP not shortcut,,T-009/T-010/T-015–019,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-006/008/011/012,,403/404/timeout/schema/manual pending never not_found.,TODO,
M02-TASK-013,M02,13,Реализовать coverage engine,Counts + overall state guards,Coverage summary first,Required/conditional rules,,T-023–026/T-048,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-006–008,,Complete only all mandatory fresh valid results.,TODO,
M02-TASK-014,M02,14,Добавить freshness,checked_at/as_of/fresh_until/TTL version,"Dates, age, refresh CTA",Explicit UNKNOWN allowed,,T-026/T-031,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-010/015/016,,Stale historical; new superseding result on refresh.,TODO,
M02-TASK-015,M02,15,Добавить evidence/provenance,Hash/reference/versions/actor/consent/retention,Open evidence/status,Raw default off,,T-014/T-030/T-036,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-005/010,,Every completed result reproducible; evidence errors incomplete.,TODO,
M02-TASK-016,M02,16,Собрать source cards,Batch/results endpoint,Owner/channel/status/outcome/dates/facts/evidence/CTA,Human mapping,,Desktop/mobile/a11y,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-016/019,,All states text+icon; mobile stacked; one primary CTA.,TODO,
M02-TASK-017,M02,17,Заменить общий green no-records,Guarded overall status,Partial/no-records exact text,No bypass enum,,Regression current UI,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-006–008,,No clean label unless complete proven negatives.,TODO,
M02-TASK-018,M02,18,Добавить fact≠bank disclaimer,No bank_verdict fields,Visible on summary/found card,Derived layer separate,,T-040–T-043,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-017,,Found fact never auto red/decline/score.,TODO,
M02-TASK-019,M02,19,Защитить ИИН и secrets,Vault/mask/HMAC/log redaction/secret refs,Safe errors,No raw/third-party data,,T-032/T-034–036/T-044,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-018/019,,No IIN/token/raw in telemetry/URL/client output.,TODO,
M02-TASK-020,M02,20,Обеспечить tenant/RBAC/audit,Ownership checks; actor/reason/version events,Access denied safely,Tenant keys,,T-033/T-037–039,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-018/019,,Cross-tenant denied without existence leak; actions audited.,TODO,
M02-TASK-021,M02,21,Добавить retry/schema quarantine,Retryable categories/backoff; quarantine drift,Retry/review CTA,Unknown enum preserved,,T-029/T-030,,,P1,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-006/011/019,,No busy loop; no false fact; evidence reference for review.,TODO,
M02-TASK-022,M02,22,Собрать FX-IIN-R0-001,Synthetic registry/results/tasks,All UI states,"NO_PII, no real API output",,AT-IIN full suite,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-001–020,,"Fixture proves partial≠clean, unavailable≠not_found, connectors off.",TODO,
M02-TASK-023,M02,23,Прогнать traceability/release evidence,Stable hooks/test report,Screenshots/accessibility evidence,T applicability map,,RG5 + related gates,,,P0,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§23 Конкретный список работ Даулету,AT-IIN-019/020,RG5,Applicable R0 tests PASS; future API tests N/A; no critical FAIL.,TODO,
M03-TASK-001,M03,1,Consent/ACL upload grant для exact tenant/case/participant/type,Да,Состояния/ошибки,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-001,,Grant одноразовый; чужой scope denied; audit.,TODO,
M03-TASK-002,M03,2,"Quarantine, SHA-256, MIME/magic, password, malware, active content, pages",Да,Понятные ошибки,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-005–009,,Parser не получает опасный/невалидный файл; original immutable.,TODO,
M03-TASK-003,M03,3,"Document versioning, exact duplicate, supersede, parse-run version",Да,Версии read-only,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-009/010/085,,Новая версия не стирает старую; replay работает.,TODO,
M03-TASK-004,M03,4,Fingerprint issuer/kind/template + page map + missing/order check,Да,Шапка/status,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-011–017,,"Для PKO.pdf: FCB/FULL_PERSONAL, 08.08.2026 09:51:38, pages 29 и sequence 1…29; UI не показывает 2.",TODO,
M03-TASK-005,M03,5,Text-first + selective OCR + page/bbox/crop/evidence hash,Да,Evidence viewer,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-021–023; AT-CH-UX-002,,У каждого critical fact видны source/page/crop/raw/parsed/confidence; один переход открывает нужный фрагмент.,TODO,
M03-TASK-006,M03,6,Presence model: zero/UNKNOWN/blank/unreadable/N/A/not-in-template,Да,Человеческие метки,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-026; RG8,RG8,Нет скрытой подмены; affected totals UNKNOWN.,TODO,
M03-TASK-007,M03,7,Immutable source contract records со всеми core fields,Да,Record details,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,AT-CH-SUITE-01,,Raw/normalized/evidence/version сохранены.,TODO,
M03-TASK-008,M03,8,"Разнести phase, event, role; current_dpd и lifetime/monthly DPD",Да,Раздельные подписи,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-053; AT-CH-BUG-001,,Schema/API/UI не используют одно поле для current/history.,TODO,
M03-TASK-009,M03,9,Lineage graph и deterministic links; fuzzy не merge,Да,Review candidate,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-041/042/046/047,,Source records целы; решения обратимы/аудируемы.,TODO,
M03-TASK-010,M03,10,Current node algorithm с assignment direction и phase,Да,Task при ambiguity,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-042–048,,Predecessor исключён; ambiguity блокирует total.,TODO,
M03-TASK-011,M03,11,current_debt_profile по canonical lineages и валютам,Да,Current card/table,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-031–040; AT-CH-BUG-001,,"UI/API: active=3; balance=4 737 798,64; payments=211 711,02; current delinquency count/max=0/0; critical unknown → UNKNOWN.",TODO,
M03-TASK-012,M03,12,historical_credit_profile без влияния на current,Да,History card,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-052–072,,Historical metrics exact; closed/MFO/history excluded current.,TODO,
M03-TASK-013,M03,13,Карты: limit/utilized/outstanding/payment kind/minimum/frequency отдельно,Да,Card columns,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-032/035/038/046/089,,"В UI две отдельные карты; ни limit=debt, ни limit=payment; source каждого поля открывается.",TODO,
M03-TASK-014,M03,14,REC-001…REC-015 и exact money comparison,Да,Reconciliation details,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,AT-CH-SUITE-01,,Каждый check evidence; critical mismatch blocks metric.,TODO,
M03-TASK-015,M03,15,Review queue по criticality и blocking policy,Да,«Нужно проверить»,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-077; AT-CH-UX-002,,Raw warning-блок demo заменён очередью unresolved: поле/причина/влияние/source/action/blocking; publish disabled при blocker.,TODO,
M03-TASK-016,M03,16,"Confirm/correct/merge/split с reason, actor, time, concurrency",Да,Формы решений,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-075/085,,Raw не меняется; profile/reconciliation version обновлена.,TODO,
M03-TASK-017,M03,17,Четыре независимых статуса + русские user messages,Да,Header badges,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-017/078/090; RG9,RG9,В broker UI нет MANUAL_REVIEW_REQUIRED/CONTRACT_REQUIRED/LEGAL_REVIEW_REQUIRED/UNVERIFIED/PARTIAL и общего M03 «Подтверждено».,TODO,
M03-TASK-018,M03,18,"Current vs History UI, neutral text, no verdict/CASA Score",API payload,Да,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,AT-CH-UX-001/003; CH-053/072/082,,"Строка demo «active с просрочкой=1» не является current; UI показывает current 0/0 отдельно, lifetime в History, PKR с as_of.",TODO,
M03-TASK-019,M03,19,Publish immutable snapshot с hashes и engine versions,Да,Версия/дата,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-077/082/085,,Gate list deterministic; replay exact; payload neutral.,TODO,
M03-TASK-020,M03,20,"Tenant/case isolation, redaction, JIT support, audit events",Да,Masked UI,—,—,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,CH-079–083,,No existence leak/PII logs; access/view/correct/export audited.,TODO,
M03-TASK-021,M03,21,Автоматизировать FX-CH-REG-001 и весь CH-001…CH-090 suite,—,UI evidence,Да,Да,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,AT-CH-SUITE-01; RG3,RG3,Все applicable tests PASS; evidence attached.,TODO,
M03-TASK-022,M03,22,Фактически перепроверить BUG-CH-001 на приложенном PKO.pdf и заполнить Actual,Проверить API,Проверить UI,Fixture,Fixture,QA,,,P0,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§22 Конкретный список работ,AT-CH-BUG-001,,"Зафиксированы source facts и API/UI: active current count=0, max current DPD=0; historical facts отдельно; статус только после retest.",TODO,
M04-TASK-001,M04,1,"Зафиксировать manual upload, consent и immutable original",Case/participant/consent gate; hash/version/quarantine/idempotency,Upload progress; open/replace,Template classify; no API,Template classify; no API,Consent/cross-tenant/corrupt/duplicate,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-002/010…012,,Manual PDF flow passes; original/hash/version immutable; no eGov login/API.,TODO,
M04-TASK-002,M04,2,Разделить независимые статусы документа,Separate integrity/subject/pages/authenticity/extraction/reconciliation/review/freshness,Russian badges + details,Return exact states,Return exact states,No one green confirmed,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-017/021,,Each dimension visible; unverified barcode never «Подтверждено».,TODO,
M04-TASK-003,M04,3,Реализовать exact fixture parser,Store parse run and rows,Show processing progress,2/2 pages; 6 rows; rotated bilingual template,2/2 pages; 6 rows; rotated bilingual template,PC-001 exact,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001A…H,,Every exact expected field/date/page/status matches.,TODO,
M04-TASK-004,M04,4,Сохранить canonical contribution_record,Entities/FieldValue/presence/evidence/version,Row details,Raw+normalized for all critical fields,Raw+normalized for all critical fields,Schema/presence tests,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001B…H/009/020,,Raw never overwritten; zero/blank/unknown distinct.,TODO,
M04-TASK-005,M04,5,"Разделить query period, contribution period и coverage",Separate fields/month algorithm,Separate labels/badge,Never substitute header period,Never substitute header period,PC-003…005,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-003/004,,"Missing month UNKNOWN unless COVERED; fixture observed=6, covered=UNKNOWN.",TODO,
M04-TASK-006,M04,6,Исправить observed months на fixture,Expose parser/profile metrics,Show 6 observed months,Investigate row/month mapping after QA evidence,Investigate row/month mapping after QA evidence,Parser/API/UI compare,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001B/C; AT-PC-003,,FX-PC-REG-001 outputs 6 at parser/API/UI; root cause documented.,TODO,
M04-TASK-007,M04,7,Реализовать versioned KNP/status registries,Effective-dated mapping + registry versions,Human type/status,010/019/015/009/089/098/013; unknown safe,010/019/015/009/089/098/013; unknown safe,PC-024/025,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001G/007/008,,Leading zero kept; unknown not OPV; penalty excluded.,TODO,
M04-TASK-008,M04,8,Разделить sender и employer,"sender entity, ID-first resolution, role const",Label «Отправитель пенсионных взносов»,Extract name + identifier,Extract name + identifier,PC-008/011…013,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001F/005/019,,No employer relation produced; same/different IDs work correctly.,TODO,
M04-TASK-009,M04,9,Убрать автоматический salary 100 000,Apply E-01…E-07; fixture base null,Human UNKNOWN message,No guessed rate,No guessed rate,PC-019,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-006,,No salary/verified income; UNKNOWN_RATE_CONTEXT in snapshot/details.,TODO,
