extract_id,document_id,module_id,source_document,source_version,source_section,source_type,source_order,raw_text,table_name,row_or_item,notes
SRC-DOC-000-00012,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,PARAGRAPH,8,"Назначение документа: CEO понимает продукт без чтения всех Module Specs; разработчик, дизайнер и QA используют MASTER как навигатор, а детальные спецификации — как обязательные приложения.",,paragraph:8,style=Normal
SRC-DOC-000-00013,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,PARAGRAPH,10,УПРАВЛЕНИЕ ДОКУМЕНТАМИ,,paragraph:10,style=Normal
SRC-DOC-000-00014,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,HEADING,11,1. Паспорт документа,,paragraph:11,style=Heading 1
SRC-DOC-000-00015,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_HEADER,12.0,"[""Поле"",""Зафиксированное значение""]",1. Паспорт документа,table:3:row:0,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00016,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.1,"[""Название"",""00_CASA_Pro_MASTER_v1.2""]",1. Паспорт документа,table:3:row:1,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00017,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.2,"[""Версия / дата"",""1.2 / 22.08.2026""]",1. Паспорт документа,table:3:row:2,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00018,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.3,"[""Владелец"",""CEO CASA Pro; изменение scope — только с его решением""]",1. Паспорт документа,table:3:row:3,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00019,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.4,"[""Статус"",""FROZEN BASELINE — изменяется только при решении CEO о scope или изменении контракта модулей.""]",1. Паспорт документа,table:3:row:4,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00020,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.5,"[""Заменяет как главный ориентир"",""Human Language Product Guide, Enhanced Global Audit и Launch Roadmap — их больше не нужно читать для определения текущего scope""]",1. Паспорт документа,table:3:row:5,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00021,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.6,"[""Не заменяет"",""Детальные Module Specs: ИИН, КИ, пенсионные, профиль клиента и 05 Bank Rules Standard; они остаются действующими техническими приложениями""]",1. Паспорт документа,table:3:row:6,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00022,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§1 Паспорт документа,TABLE_ROW,12.7,"[""Граница банковских правил"",""05 Bank Rules Standard предоставлен и действует как стандарт модулей 07–08; фактические условия конкретных банков создаются и утверждаются отдельными Bank Rules Packs""]",1. Паспорт документа,table:3:row:7,"headers=[""Поле"",""Зафиксированное значение""]"
SRC-DOC-000-00023,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,HEADING,14,2. Правило источника истины,,paragraph:14,style=Heading 1
SRC-DOC-000-00024,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,TABLE_ROW,15.0,"[""ИЕРАРХИЯ  MASTER → спецификация конкретного модуля → утверждённый экран/UX → тесты и приёмка → реализация.""]",2. Правило источника истины,table:4:row:0,"headers=[""ИЕРАРХИЯ  MASTER → спецификация конкретного модуля → утверждённый экран/UX → тесты и приёмка → реализация.""]"
SRC-DOC-000-00025,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,PARAGRAPH,17,"MASTER определяет scope, связи модулей, язык интерфейса, версии и правила приёмки.",,paragraph:17,style=List Bullet
SRC-DOC-000-00026,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,PARAGRAPH,18,"Module Spec определяет поля, алгоритмы, ошибки, тестовые значения и технические инварианты внутри модуля.",,paragraph:18,style=List Bullet
SRC-DOC-000-00027,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,PARAGRAPH,19,Экран не может отменить MASTER или Module Spec. Реализация не считается требованием сама для себя.,,paragraph:19,style=List Bullet
SRC-DOC-000-00028,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,PARAGRAPH,20,При расхождении разработка останавливается на спорном месте; конфликт заносится в раздел 23 и решается до статуса DONE.,,paragraph:20,style=List Bullet
SRC-DOC-000-00029,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,HEADING,21,3. Что такое CASA Pro сейчас,,paragraph:21,style=Heading 1
SRC-DOC-000-00030,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,TABLE_ROW,22.0,"[""ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.""]",3. Что такое CASA Pro сейчас,table:5:row:0,"headers=[""ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.""]"
SRC-DOC-000-00031,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,PARAGRAPH,24,"CASA Pro не является банком, кредитным бюро, официальным скорингом или системой гарантированного одобрения.",,paragraph:24,style=Normal
SRC-DOC-000-00032,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,PARAGRAPH,26,ГРАНИЦЫ СТАДИИ 1.X,,paragraph:26,style=Normal
SRC-DOC-000-00033,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,HEADING,27,4. Что входит в текущую стадию,,paragraph:27,style=Heading 1
SRC-DOC-000-00034,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,TABLE_ROW,28.0,"[""ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.""]",4. Что входит в текущую стадию,table:6:row:0,"headers=[""ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.""]"
SRC-DOC-000-00035,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,30,"клиент, участники, согласия и ипотечный кейс;",,paragraph:30,style=List Bullet
SRC-DOC-000-00036,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,31,проверка по ИИН в разрешённых режимах и с честным статусом покрытия;,,paragraph:31,style=List Bullet
SRC-DOC-000-00037,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,32,ручная загрузка PDF кредитной истории и пенсионных отчислений;,,paragraph:32,style=List Bullet
SRC-DOC-000-00038,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,33,"проверка файла, полноты, подлинности/неопределённости и качества распознавания;",,paragraph:33,style=List Bullet
SRC-DOC-000-00039,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,34,подтверждение или исправление критичных значений с переходом к фрагменту PDF;,,paragraph:34,style=List Bullet
SRC-DOC-000-00040,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,35,единый профиль клиента без повторного ввода уже подтверждённых фактов;,,paragraph:35,style=List Bullet
SRC-DOC-000-00041,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,36,детерминированные финансовые расчёты по утверждённым формулам;,,paragraph:36,style=List Bullet
SRC-DOC-000-00042,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,37,версионная база условий банков и предварительное сопоставление с программами;,,paragraph:37,style=List Bullet
SRC-DOC-000-00043,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,38,"три понятных результата, причины и недостающие данные;",,paragraph:38,style=List Bullet
SRC-DOC-000-00044,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,39,сценарии ДО → изменение → ПОСЛЕ; следующий шаг; заключение клиенту;,,paragraph:39,style=List Bullet
SRC-DOC-000-00045,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,PARAGRAPH,40,"дата повторной проверки, устаревание документов и возврат старых клиентов в работу.",,paragraph:40,style=List Bullet
SRC-DOC-000-00046,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,HEADING,41,5. Что НЕ входит в текущую стадию,,paragraph:41,style=Heading 1
SRC-DOC-000-00047,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_HEADER,42.0,"[""Не строим сейчас"",""Граница""]",5. Что НЕ входит в текущую стадию,table:7:row:0,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00048,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.1,"[""Недвижимость"",""Застройщики, ЖК, квартиры, остатки, цены, подбор объектов, CASA Match""]",5. Что НЕ входит в текущую стадию,table:7:row:1,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00049,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.2,"[""Сделочный слой"",""Фиксации, брони, показы, комиссии, сделки и кабинеты застройщиков""]",5. Что НЕ входит в текущую стадию,table:7:row:2,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00050,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.3,"[""Большая CRM"",""Лиды, маркетинг, телефония, универсальная аналитика агентства и полный контроль продаж""]",5. Что НЕ входит в текущую стадию,table:7:row:3,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00051,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.4,"[""Прямые данные"",""Получение КИ или пенсионных через API; вход в кабинеты; ЭЦП, OTP, пароли клиента""]",5. Что НЕ входит в текущую стадию,table:7:row:4,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00052,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.5,"[""Банковские интеграции"",""Подача заявки, получение официального решения или статуса банка""]",5. Что НЕ входит в текущую стадию,table:7:row:5,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00053,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.6,"[""Неутверждённая автоматизация"",""Парсинг CAPTCHA/закрытых сайтов, массовые реестры, неподтверждённые API""]",5. Что НЕ входит в текущую стадию,table:7:row:6,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00054,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,TABLE_ROW,42.7,"[""Расширенный ИИ"",""Универсальный чат, новые правила, изменение расчётов, автоматические финансовые советы клиенту""]",5. Что НЕ входит в текущую стадию,table:7:row:7,"headers=[""Не строим сейчас"",""Граница""]"
SRC-DOC-000-00055,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,PARAGRAPH,45,ОДИН КЛИЕНТ ОТ НАЧАЛА ДО РЕЗУЛЬТАТА,,paragraph:45,style=Normal
SRC-DOC-000-00056,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,HEADING,46,6. Сквозной путь одного ипотечного клиента,,paragraph:46,style=Heading 1
SRC-DOC-000-00057,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_HEADER,47.0,"[""Шаг"",""Действие"",""Обязательный результат""]",6. Сквозной путь одного ипотечного клиента,table:8:row:0,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00058,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.1,"[""1"",""Создать клиента и кейс"",""Участники определены; согласие привязано к человеку, цели и версии текста.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:1,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00059,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.2,"[""2"",""Проверить по ИИН"",""Запускаются только разрешённые источники; ручные проверки создаются как задачи; недоступность не равна отсутствию записей.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:2,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00060,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.3,"[""3"",""Загрузить два PDF вручную"",""Кредитная история и пенсионные отчисления получены самим клиентом и загружены пользователем.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:3,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00061,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.4,"[""4"",""Проверить документы"",""Тип, страницы, читаемость, безопасность, субъект, дубли, подлинность и свежесть.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:4,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00062,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.5,"[""5"",""Распознать"",""CASA извлекает факты, суммы, даты и ссылки на страницы/фрагменты.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:5,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00063,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.6,"[""6"",""Подтвердить критичные значения"",""Брокер принимает или исправляет цифры; UNKNOWN остаётся неизвестным.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:6,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00064,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.7,"[""7"",""Собрать профиль"",""CASA спрашивает только недостающие данные: цель, участники, занятость, доходы, активы и источник ПВ.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:7,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00065,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.8,"[""8"",""Посчитать"",""Утверждённые формулы используют только допустимые подтверждённые входы и фиксируют версию расчёта.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:8,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00066,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.9,"[""9"",""Применить правила программ"",""Каждое правило имеет источник, дату, версию и проверяющего.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:9,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00067,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.10,"[""10"",""Показать результат и причины"",""Потенциально подходит / не проходит по известному условию / требуется ручная проверка.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:10,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00068,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.11,"[""11"",""Сравнить сценарии"",""ДО → одно явное изменение → ПОСЛЕ; факты клиента не перезаписываются.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:11,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00069,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.12,"[""12"",""Назначить действие"",""Конкретный следующий шаг, ответственный и срок.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:12,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00070,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.13,"[""13"",""Сформировать заключение"",""Человеческий язык, источники, оговорки; без обещания решения банка.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:13,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00071,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,47.14,"[""14"",""Вернуть клиента"",""Новая дата, новый документ, изменение данных или банковского правила запускают повторную проверку.""]",6. Сквозной путь одного ипотечного клиента,table:8:row:14,"headers=[""Шаг"",""Действие"",""Обязательный результат""]"
SRC-DOC-000-00072,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,TABLE_ROW,49.0,"[""СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.""]",6. Сквозной путь одного ипотечного клиента,table:9:row:0,"headers=[""СКВОЗНОЙ КОНТРАКТ  Клиент → согласие → документы → проверенные факты → профиль → расчёты → банковские правила → понятный результат → сценарии → действие → заключение → повторная проверка.""]"
SRC-DOC-000-00073,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§6 Сквозной путь одного ипотечного клиента,PARAGRAPH,52,КАРТА МОДУЛЕЙ • 01–04,,paragraph:52,style=Normal
SRC-DOC-000-00074,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§7 Карта модулей,HEADING,53,7. Карта модулей,,paragraph:53,style=Heading 1
SRC-DOC-000-00075,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,HEADING,54,01  Клиент и согласие,,paragraph:54,style=Heading 2
SRC-DOC-000-00076,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,PARAGRAPH,55,Зачем: создать законное и отслеживаемое основание работы с конкретным человеком,,paragraph:55,style=Normal
SRC-DOC-000-00077,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,PARAGRAPH,56,"Вход: роль пользователя, данные участника, цель обработки, версия согласия",,paragraph:56,style=Normal
SRC-DOC-000-00078,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,PARAGRAPH,57,"Действие и выход: создаёт участника, кейс, согласие и журнал действий → идентифицированный участник и действующий статус согласия",,paragraph:57,style=Normal
SRC-DOC-000-00079,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,PARAGRAPH,58,Не делает: не распространяет согласие одного участника на другого и не заменяет юридическое заключение,,paragraph:58,style=Normal
SRC-DOC-000-00080,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,PARAGRAPH,59,"Источник требований: MASTER; требования согласий внутри IIN, Credit History и Client Profile Specs; точный текст согласия и юридические роли требуют отдельного утверждения",,paragraph:59,style=Normal
SRC-DOC-000-00081,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,HEADING,60,02  Проверка по ИИН,,paragraph:60,style=Heading 2
SRC-DOC-000-00082,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,PARAGRAPH,61,Зачем: собрать поисточниковые официальные факты без ложного общего зелёного результата,,paragraph:61,style=Normal
SRC-DOC-000-00083,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,PARAGRAPH,62,"Вход: валидный ИИН, участник, предметное согласие, реестр источников и разрешения",,paragraph:62,style=Normal
SRC-DOC-000-00084,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,PARAGRAPH,63,"Действие и выход: делит проверки на автоматические, ручные, клиент-авторизованные и недоступные → результаты по каждому источнику, покрытие, даты и доказательства",,paragraph:63,style=Normal
SRC-DOC-000-00085,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,PARAGRAPH,64,"Не делает: не получает КИ/ЕНПФ, не обходит CAPTCHA и не создаёт банковский вердикт",,paragraph:64,style=Normal
SRC-DOC-000-00086,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,PARAGRAPH,65,Источник требований: CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,,paragraph:65,style=Normal
SRC-DOC-000-00087,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,HEADING,66,03  Кредитная история,,paragraph:66,style=Heading 2
SRC-DOC-000-00088,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,PARAGRAPH,67,Зачем: точно разделить текущие обязательства и историю клиента,,paragraph:67,style=Normal
SRC-DOC-000-00089,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,PARAGRAPH,68,Вход: вручную загруженный PDF ПКО и действующее согласие,,paragraph:68,style=Normal
SRC-DOC-000-00090,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,PARAGRAPH,69,"Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей",,paragraph:69,style=Normal
SRC-DOC-000-00091,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,PARAGRAPH,70,"Не делает: не запрашивает отчёт у бюро, не считает банковский КДН и не оценивает КИ как хорошую/плохую",,paragraph:70,style=Normal
SRC-DOC-000-00092,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,PARAGRAPH,71,Источник требований: CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,,paragraph:71,style=Normal
SRC-DOC-000-00093,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,HEADING,72,04  Пенсионные отчисления,,paragraph:72,style=Heading 2
SRC-DOC-000-00094,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,PARAGRAPH,73,Зачем: получить нейтральную историю пенсионных поступлений без подмены её зарплатой,,paragraph:73,style=Normal
